Rank,Company,Year,Country,Region,Industry,R&D (€ million),R&D one-year growth (%),Net sales (€ million),Net sales one-year growth (%),R&D intensity (%),Capex (€ million),Capex one-year growth (%),Capex intensity (%),Op. profits (€ million),Op. profits one-year growth (%),Profitability (%),Employees,Employees one-year growth (%),Market cap (€ million),Market cap one-year growth (%)
656,ARVINAS,2022,US,US,Pharmaceuticals & Biotechnology,285.486715,71.6,123.195252,181.4,231.7,6.375401,44.7,5.2,-246.765528,34.8,-200.3,415,48.2,2112.050755,-46.9
657,MORPHOSYS,2022,Germany,EU,Pharmaceuticals & Biotechnology,285.46316,35.0,278.267,54.9,102.6,1.932,-49.3,0.7,-220.727,-56.6,-79.3,629,-14.1,596.32045,-64.5
658,SILICON LABORATORIES,2022,US,US,Technology Hardware & Equipment,284.421648,25.9,960.159797,42.1,29.6,24.868752,-7.2,2.6,111.813286,-463.2,11.6,1964,17.8,4021.406015,-39.2
659,SKYWORTH GROUP,2022,China,China,Electronic & Electrical Equipment,283.978649,0.9,7178.78163,5.0,4.0,311.356553,21.0,4.3,260.224291,-2.1,3.6,31400,-7.6,1237.0246,58.9
660,NITTO DENKO,2022,Japan,Japan,Chemicals,283.953507,7.8,6566.348006,8.9,4.3,465.924062,11.8,7.1,1040.220473,11.3,15.8,26070,0.4,9124.096949,3.1
661,CANOO,2022,US,US,Automobiles & Parts,280.534528,21.5,0,,,91.196363,-28.8,,-475.155838,12.6,,812,0.9,,
662,ASANA,2022,US,US,Software & Computer Services,280.344204,46.4,513.043535,44.6,54.6,6.710109,-83.2,1.3,-374.504192,50.6,-73.0,1782,7.0,1908.025376,-71.7
663,SNCF,2022,France,EU,Industrial Transportation,280,1.8,41449,19.3,0.7,7687,-5.2,18.5,2591,315.9,6.3,276271,2.2,,
664,SHENZHEN INOVANCE TECHNOLOGY,2022,China,China,Electronic & Electrical Equipment,279.744928,34.2,3069.840602,28.2,9.1,223.083212,113.5,7.3,527.259641,22.8,17.2,20256,19.6,18421.97613,-6.9
665,HISENSE VISUAL TECHNOLOGY,2022,China,China,Leisure Goods,279.117307,12.3,5412.471203,-6.1,5.2,35.584833,-12.8,0.7,276.230702,49.7,5.1,16043,-12.7,2152.140393,12.1
666,CLAAS,2022,Germany,EU,Automobiles & Parts,279.109,6.4,4925.5,2.7,5.7,129.836,9.2,2.6,189.7,-46.1,3.9,12116,10.5,,
667,ASTON MARTIN LAGONDA GLOBAL HOLDINGS,2022,UK,RoW,Automobiles & Parts,278.448815,28.7,1563.092398,26.1,17.8,66.302724,44.0,4.2,-150.595438,103.8,-9.6,2537,7.9,587.288355,-77.7
668,GOJEK,2022,Indonesia,RoW,Support Services,278.270145,41.2,676.404148,150.2,41.1,20.724994,31.4,3.1,-2466.148196,84.2,-364.6,9287,2.7,21317.4077,
669,MAXLINEAR,2022,US,US,Technology Hardware & Equipment,277.928114,8.2,1050.302344,25.5,26.5,38.677121,5.3,3.7,170.678865,169.9,16.3,1844,22.7,2638.782079,-29.5
670,JOBY AVIATION,2022,US,US,Aerospace & Defence,277.780918,53.9,,,,51.462613,69.7,,-367.713452,51.4,,1422,26.5,3019.045373,-58.0
671,JOHNSON CONTROLS,2022,Ireland,EU,General Industrials,276.579905,7.3,23719.30514,6.9,1.2,555.034928,7.2,2.3,1802.925957,-35.3,7.6,102000,1.0,34963.62748,-30.0
672,IOVANCE BIOTHERAPEUTICS,2022,US,US,Pharmaceuticals & Biotechnology,276.374579,13.8,0,,,19.149642,-45.6,,-373.971658,16.4,,503,57.7,1579.641071,-54.8
673,GOLDWIND SCIENCE & TECHNOLOGY,2022,China,China,Industrial Engineering,276.150716,-1.0,6207.474532,-8.9,4.4,1066.647158,-18.9,17.2,160.406064,-71.6,2.6,11200,3.9,5843.279912,-12.1
674,PEGASYSTEMS,2022,US,US,Software & Computer Services,275.969554,12.9,1235.55744,8.8,22.3,33.169899,238.4,2.7,-82.188297,-7.5,-6.7,6145,0.2,2812.932835,-73.2
675,SHENZHEN TRANSSION HOLDINGS,2022,China,China,Technology Hardware & Equipment,275.83764,36.8,6147.216705,-5.4,4.5,112.745294,13.5,1.8,443.545125,-30.5,7.2,16232,0.9,3623.349795,
676,LIGHT & WONDER,2022,US,US,Travel & Leisure,275.642346,18.5,2355.148208,16.7,11.7,202.512744,26.3,8.6,392.837221,51.3,16.7,6100,-35.8,4415.534528,-32.5
677,KOITO MANUFACTURING,2022,Japan,Japan,Automobiles & Parts,275.33065,14.5,6111.760881,13.7,4.5,281.543348,37.7,4.6,326.813347,-13.5,5.3,23488,0.1,5437.894864,-28.9
678,DEUTSCHE BORSE,2022,Germany,EU,Financial Services,274.5,35.4,5279.9,17.5,5.2,109.6,189.9,2.1,2106.5,23.2,39.9,11078,8.6,31787.00058,14.0
679,NEW RELIC,2022,US,US,Software & Computer Services,273.933175,30.1,867.828986,17.8,31.6,2.919558,-46.1,0.3,-137.056124,-36.0,-15.8,2663,20.1,3831.510491,-21.2
680,MINEBEA,2022,Japan,Japan,Industrial Engineering,273.909999,4.6,9133.181699,15.0,3.0,950.27418,96.3,10.4,634.649342,-2.0,6.9,87752,7.5,7298.901446,-14.6
681,KIMBERLY-CLARK,2022,US,US,Personal Goods,273.767228,8.6,18915.25283,3.8,1.4,821.301684,-13.0,4.3,2513.595679,-5.5,13.3,44000,-2.2,40365.28363,-7.2
682,TOAST,2022,US,US,Software & Computer Services,272.829669,70.2,2560.473629,60.2,10.7,15.000944,33.3,0.6,-360.022656,68.4,-14.1,4500,41.9,5028.627233,
683,LINGYI ITECH (GUANGDONG),2022,China,China,Construction & Materials,271.418702,9.1,4512.227213,12.6,6.0,297.641296,-59.5,6.6,337.054473,43.0,7.5,65731,-17.7,5084.840835,-16.0
684,ARROWHEAD PHARMACEUTICALS,2022,US,US,Pharmaceuticals & Biotechnology,270.486708,45.0,228.043413,75.9,118.6,49.481551,123.9,21.7,-167.360844,19.8,-73.4,397,20.7,3940.806327,-39.9
685,ARCUS BIOSCIENCES,2022,US,US,Pharmaceuticals & Biotechnology,270.016992,12.8,105.006608,-70.7,257.1,5.625354,-77.0,5.4,-262.51652,-616.1,-250.0,500,36.6,1629.113655,-16.6
686,ARKEMA,2022,France,EU,Chemicals,270,11.1,11550,21.3,2.3,651,2.0,5.6,1281,57.0,11.1,20944,4.6,6268.255936,-27.3
687,ANHUI CONCH CEMENT,2022,China,China,Construction & Materials,269.929624,52.7,17718.00689,-21.4,1.5,1879.858806,17.6,10.6,2392.282576,-56.2,13.5,52312,0.0,17134.0746,-20.1
688,RESMED,2022,US,US,Health Care Equipment & Services,269.681345,13.4,3959.305094,18.0,6.8,112.19956,-11.2,2.8,1080.065155,15.2,27.3,10140,24.3,30191.07011,-23.9
689,ZAI LAB,2022,China,China,Pharmaceuticals & Biotechnology,268.524398,-50.0,201.612687,49.0,133.2,23.049888,34.4,11.4,-378.661328,-42.2,-187.8,2036,4.4,4167.698901,-66.8
690,REVVITY,2022,US,US,Electronic & Electrical Equipment,268.1625,4.0,3105.028522,-13.5,8.6,80.285052,-14.3,2.6,734.201515,-41.5,23.6,16700,0.0,15983.32354,-17.7
691,SANA BIOTECHNOLOGY,2022,US,US,Pharmaceuticals & Biotechnology,268.034054,15.0,0,,,19.572481,-30.1,,-255.544831,-23.6,,421,9.9,1214.586984,-71.3
692,SOLAREDGE TECHNOLOGIES,2022,US,US,Alternative Energy,267.779976,31.8,2916.070068,58.4,9.2,158.767178,13.5,5.4,155.747301,-19.8,5.3,4926,24.3,14330.80412,0.9
693,UIPATH,2022,US,US,Software & Computer Services,267.44433,2.0,992.482143,18.6,26.9,22.327967,168.2,2.2,-304.553852,-35.2,-30.7,3833,-4.5,7129.665412,-71.8
694,IHI,2022,Japan,Japan,Industrial Engineering,266.750201,15.1,9562.465687,15.3,2.8,442.288952,37.3,4.6,540.815695,395.4,5.7,28486,-1.1,4083.344232,52.7
695,CAPCOM,2022,Japan,Japan,Software & Computer Services,266.594707,26.3,890.062607,14.4,30.0,50.203404,140.8,5.6,357.806157,18.0,40.2,3332,3.9,7176.66551,22.1
696,HOLOGIC,2022,US,US,Health Care Equipment & Services,265.70422,2.6,4559.161905,-13.7,5.8,119.257504,-18.6,2.6,1503.000832,-35.4,33.0,6944,3.6,15813.39987,-15.9
697,SONOVA,2022,Switzerland,RoW,Leisure Goods,264.842011,8.7,3796.339632,11.1,7.0,156.69142,44.7,4.1,758.171188,-1.7,20.0,17608,5.2,16595.92433,-26.7
698,VERTIV,2022,US,US,Electronic & Electrical Equipment,264.391638,5.9,5336.117048,13.9,5.0,93.7559,36.2,1.8,213.57594,-13.9,4.0,27000,12.5,4075.802368,-56.2
699,BANK OF IRELAND,2022,Ireland,EU,Banks,264,10.9,3316,9.0,8.0,104,42.5,3.1,1056,-13.5,31.8,10153,16.8,6594.607574,14.8
700,PIRELLI,2022,Italy,EU,Automobiles & Parts,263.9,9.8,6615.727,24.1,4.0,303.491,18.5,4.6,783.473,34.5,11.8,31301,2.0,3779.999971,-25.5
701,LOGITECH INTERNATIONAL,2022,Switzerland,RoW,Technology Hardware & Equipment,263.262816,-3.8,4255.409665,-17.2,6.2,86.586386,3.6,2.0,439.30452,-39.5,10.3,7400,-9.8,8589.0758,-47.8
702,THYSSENKRUPP,2022,Germany,EU,Industrial Metals & Mining,263,6.0,41140,20.9,0.6,1247,-11.2,3.0,1537,291.1,3.7,96494,-4.7,3473.727067,-41.1
703,ACCIONA,2022,Spain,EU,Construction & Materials,262.8,5.0,11195,38.1,2.3,2195,131.4,19.6,1430,60.7,12.8,45892,10.1,10702.53334,41.8
704,AGIOS PHARMACEUTICALS,2022,US,US,Pharmaceuticals & Biotechnology,262.432139,-5.8,13.35084,,1965.7,4.576225,-15.0,34.3,-364.754516,2.8,-2732.1,393,0.3,1310.576458,-46.9
705,KBC,2022,Belgium,EU,Banks,262,12.0,8455,11.7,3.1,575,-4.6,6.8,3351,-2.0,39.6,41947,3.8,19751.94503,-33.6
706,YANKUANG ENERGY,2022,China,China,Mining,261.456968,70.9,20748.35849,42.3,1.3,1790.74601,15.7,8.6,7394.038788,111.2,35.6,64279,3.9,7118.144568,126.3
707,SUN PHARMACEUTICAL INDUSTRIES,2022,India,RoW,Pharmaceuticals & Biotechnology,261.165032,8.4,4901.359656,12.6,5.3,728.881108,67.0,14.9,1066.021464,9.9,21.7,19124,0.5,24271.9499,12.5
708,NEXTEER,2022,US,US,Automobiles & Parts,259.649464,6.8,3599.948104,14.3,7.2,112.828662,-15.0,3.1,66.892021,-27.3,1.9,12600,5.9,1766.036585,-33.1
709,KOBE STEEL,2022,Japan,Japan,Industrial Metals & Mining,259.406637,10.4,17475.47778,18.7,1.5,699.469196,-36.7,4.0,579.060186,-6.5,3.3,38488,1.0,1781.652114,-1.2
710,AMICUS THERAPEUTICS,2022,US,US,Pharmaceuticals & Biotechnology,259.401011,1.7,308.675362,7.8,84.0,3.530847,-3.0,1.1,-198.875015,2.8,-64.4,484,-2.4,2953.308589,3.8
711,L'AIR LIQUIDE,2022,France,EU,Chemicals,258.9,11.5,29934,28.3,0.9,3273,12.2,10.9,4291.1,7.0,14.3,67109,1.0,65518.06761,-8.9
712,CEREVEL,2022,US,US,Pharmaceuticals & Biotechnology,258.634088,71.4,0,,,3.707108,-62.4,,-344.879203,67.1,,298,49.0,4051.574057,-5.8
713,RUIJIE,2022,China,China,Software & Computer Services,258.089981,47.9,1397.440815,19.7,18.5,29.20672,48.9,2.1,63.875199,22.5,4.6,7980,23.1,,
714,IDEXX LABORATORIES,2022,US,US,Health Care Equipment & Services,257.968421,56.5,3157.064922,4.7,8.2,139.544406,24.5,4.4,845.832915,-3.4,26.8,10780,4.2,27133.56924,-49.5
715,CONFLUENT,2022,US,US,Software & Computer Services,257.24275,64.0,549.35707,51.1,46.8,13.552415,61.7,2.5,-433.784172,36.2,-79.0,2761,39.4,3230.206658,123.5
716,BP,2022,UK,RoW,Oil & Gas Producers,256.891166,3.0,226319.2421,53.0,0.1,11315.39957,10.9,5.0,41351.0397,203.9,18.3,67500,2.5,94077.48672,39.1
717,NIKOLA,2022,US,US,Automobiles & Parts,256.672714,-6.5,47.651436,,538.6,160.065697,-4.8,335.9,-701.929797,8.0,-1473.1,1500,66.7,2178.3557,-44.1
718,FUJI ELECTRIC,2022,Japan,Japan,Electronic & Electrical Equipment,255.97163,7.3,7134.686165,10.9,3.6,431.708282,84.8,6.1,628.217539,18.8,8.8,27123,1.4,6405.176457,27.4
719,SARTORIUS,2022,Germany,EU,Electronic & Electrical Equipment,255.6,35.2,4174.7,21.0,6.1,522.6,28.3,12.5,1123.6,25.2,26.9,15942,15.3,15612.48,-25.4
720,LENS TECHNOLOGY,2022,China,China,Electronic & Electrical Equipment,255.583351,3.3,6059.695317,2.6,4.2,919.624057,0.1,15.2,442.532142,14.2,7.3,128952,-17.8,7243.207819,-53.9
721,FIBROGEN,2022,US,US,Pharmaceuticals & Biotechnology,255.580458,6.2,131.946428,-40.2,193.7,36.321973,28.3,27.5,-282.228697,4.3,-213.9,592,4.6,1093.325277,8.3
722,CHINA NATIONAL SOFTWARE & SERVICE,2022,China,China,Software & Computer Services,254.657095,0.1,1282.466503,-6.8,19.9,29.422925,4.3,2.3,26.684732,17.6,2.1,11291,-5.1,3259.844579,0.9
723,HENGTONG OPTIC-ELECTRIC,2022,China,China,Technology Hardware & Equipment,253.984622,4.0,6167.605594,12.6,4.1,354.688796,-2.3,5.8,299.79999,-16.4,4.9,14983,-2.9,5335.471782,42.5
724,BRP,2022,Canada,RoW,Automobiles & Parts,253.429717,26.9,6915.316085,31.2,3.7,414.226978,-4.4,6.0,938.179306,14.6,13.6,23000,15.0,2279.692694,-17.0
725,ATARA BIOTHERAPEUTICS,2022,US,US,Pharmaceuticals & Biotechnology,253.130616,-4.3,59.603438,212.6,424.7,3.931184,-60.4,6.6,-257.405885,-19.4,-431.9,334,-42.2,354.765692,-70.2
726,ZHEN DING TECHNOLOGY HOLDING,2022,Taiwan,RoW,Electronic & Electrical Equipment,252.793054,13.4,5231.757981,10.5,4.8,886.386072,-5.6,16.9,679.842722,33.1,13.0,,,3296.282132,14.8
727,ILLINOIS TOOL WORKS,2022,US,US,Industrial Engineering,252.203371,12.6,14937.18999,10.2,1.7,386.274308,39.2,2.6,3553.34861,9.0,23.8,46000,2.2,56556.93234,-17.8
728,SWATCH,2022,Switzerland,RoW,Personal Goods,251.84363,-1.2,7615.223331,2.5,3.3,344.253995,35.1,4.5,1175.947275,13.4,15.4,32061,2.0,7002.318076,-7.7
729,XERO,2022,New Zealand,RoW,Software & Computer Services,251.679799,23.9,831.469016,27.6,30.3,4.010388,-64.5,0.5,-35.516766,-242.5,-4.3,5080,6.2,8363.812518,-41.6
730,CHEVRON,2022,US,US,Oil & Gas Producers,251.265812,0.0,220998.5948,51.5,0.1,11226.33147,48.6,5.1,39283.7221,141.1,17.8,43846,2.9,291166.8324,65.9
731,ANHEUSER-BUSCH INBEV,2022,Belgium,EU,Beverages,251.265812,-10.1,54177.78437,6.4,0.5,4011.814961,25.9,7.4,13533.66417,4.9,25.0,166632,-1.6,83984.46548,-4.6
732,KODIAK,2022,US,US,Pharmaceuticals & Biotechnology,250.88235,23.1,0,,,44.405606,-25.2,,-320.062953,27.8,,112,20.4,488.395928,-89.2
733,PROCORE TECHNOLOGIES,2022,US,US,Software & Computer Services,250.753904,14.0,675.232804,39.9,37.1,14.796556,27.4,2.2,-263.502832,1.6,-39.0,3568,23.7,6939.61313,-38.2
734,BEIQI FOTON MOTOR,2022,China,China,Automobiles & Parts,250.446594,3.2,5736.430584,-14.2,4.4,212.905879,-21.2,3.7,46.786287,-115.1,0.8,18840,-9.5,2311.956919,-35.8
735,VERADIGM,2022,US,US,Software & Computer Services,250.238247,-11.7,1409.185866,0.0,17.8,4.964374,-68.9,0.4,72.378617,-158.3,5.1,8000,-4.8,1800.269749,31.9
736,GLODON,2022,China,China,Software & Computer Services,248.965712,14.3,872.619148,17.9,28.5,114.008301,17.9,13.1,148.767503,50.3,17.0,10683,12.6,6551.846697,-14.8
737,ALLAKOS,2022,US,US,Pharmaceuticals & Biotechnology,248.529077,35.0,0,,,7.812679,-74.9,,-302.29621,18.8,,123,-35.9,249.384865,-94.5
738,BENTLEY SYSTEMS,2022,US,US,Software & Computer Services,248.37438,16.4,1030.45422,13.9,24.1,17.387969,5.7,1.7,195.586058,10.0,19.0,5000,8.1,9541.541872,-41.6
739,PHISON ELECTRONICS,2022,Taiwan,RoW,Electronic & Electrical Equipment,248.235781,0.0,1839.705882,-3.7,13.5,46.664596,-34.7,2.5,214.254244,-23.3,11.6,,,1880.296892,-26.8
740,MELROSE INDUSTRIES,2022,UK,RoW,Industrial Engineering,247.786634,2.3,8677.05798,-1.3,2.9,306.621816,24.3,3.5,-382.428686,-24.9,-4.4,39959,-17.9,6261.751312,-24.5
741,QUANTUMSCAPE,2022,US,US,Automobiles & Parts,247.735902,81.7,0,,,148.926559,24.9,,-394.354191,95.4,,850,49.1,3616.418009,-32.5
742,EASTMAN CHEMICAL,2022,US,US,Chemicals,247.515576,3.9,9919.37422,1.0,2.5,585.036816,12.4,5.9,1158.822924,-33.5,11.7,14500,3.6,10477.75994,-27.3
743,DEUTSCHE BAHN,2022,Germany,EU,Travel & Leisure,247,-5.7,56296,19.6,0.4,14310,0.9,25.4,1268,-525.5,2.3,324136,0.1,,
744,10X GENOMICS,2022,US,US,Pharmaceuticals & Biotechnology,246.922101,24.4,484.163905,5.3,51.0,123.439955,30.0,25.5,-157.457408,221.4,-32.5,1243,0.3,2939.791037,-80.3
745,TELADOC,2022,US,US,Health Care Equipment & Services,246.750527,1.0,2256.554503,18.4,10.9,15.450972,93.1,0.7,-12779.09606,5603.3,-566.3,5600,9.8,4693.732087,-78.2
746,XINYU IRON & STEEL,2022,China,China,Industrial Metals & Mining,245.583335,-20.3,12484.8062,-5.6,2.0,156.214963,-7.3,1.3,208.996744,-69.1,1.7,12585,-19.7,1827.32036,-51.4
747,BURELLE,2022,France,EU,General Industrials,245.578,15.9,8548.681,18.0,2.9,230.732,42.7,2.7,331.214,19.5,3.9,34461,37.7,892.872484,-33.0
748,GUIDEWIRE SOFTWARE,2022,US,US,Software & Computer Services,245.575766,14.2,761.873569,9.3,32.2,8.916186,-50.0,1.2,-186.993329,88.9,-24.5,3376,14.8,5653.189544,-38.7
749,JOYY,2022,China,China,Software & Computer Services,245.459509,-6.4,2260.938529,-7.9,10.9,64.712197,-2.5,2.9,47.567055,-232.2,2.1,6681,-10.3,1551.239847,-57.9
750,DOLBY LABORATORIES,2022,US,US,Media,244.866034,3.0,1175.504911,-2.1,20.8,44.935327,-12.0,3.8,203.664066,-38.7,17.3,2336,-1.4,4450.156126,-26.7
751,CHINA NATIONAL NUCLEAR POWER,2022,China,China,Electricity,244.581895,19.8,9411.788017,13.5,2.6,6778.661618,101.1,72.0,3704.411428,16.9,39.4,17090,8.5,16114.99098,28.8
752,SOHU.COM,2022,China,China,Media,244.489135,-36.5,688.048298,-12.2,35.5,7.974876,26.6,1.2,-0.818489,-100.9,-0.1,4900,0.0,638.567165,-25.9
753,SYMRISE,2022,Germany,EU,Chemicals,243.636,15.0,4618.476,20.7,5.3,229.802,48.9,5.0,630.103,12.7,13.6,12043,8.0,14731.97471,-9.6
754,ENDRESS & HAUSER,2022,Switzerland,RoW,Electronic & Electrical Equipment,242.418,13.6,3350.542,16.4,7.2,199.97,16.0,6.0,471.871,8.7,14.1,15817,4.6,,
755,GENERAL MILLS,2022,US,US,Food Producers,241.515198,6.0,18839.49806,5.8,1.3,646.44693,21.2,3.4,2865.649083,-8.9,15.2,34000,4.6,42893.84107,30.5
756,JIANGLING MOTORS,2022,China,China,Automobiles & Parts,241.170738,-3.7,3843.794886,-14.7,6.3,185.275535,18.1,4.8,51.827177,33.1,1.3,12339,-4.6,260.910955,-19.2
757,AKZO NOBEL,2022,Netherlands,EU,Chemicals,241,13.1,10846,13.1,2.2,262,3.6,2.4,708,-36.7,6.5,35200,7.3,11448.66361,-41.5
758,INTERCONTINENTALEXCHANGE GROUP,2022,US,US,Financial Services,240.952663,-5.9,9034.318524,5.1,2.7,210.950775,25.7,2.3,3498.032629,5.1,38.7,8911,0.6,52803.8021,-16.3
759,BIO-RAD LABORATORIES,2022,US,US,Health Care Equipment & Services,240.754838,-0.6,2627.27377,-4.1,9.2,105.739779,-15.7,4.0,445.26177,-15.8,16.9,8200,3.8,11202.33851,-39.9
760,ALLOGENE THERAPEUTICS,2022,US,US,Pharmaceuticals & Biotechnology,240.377939,16.4,0.227826,-99.4,105509.4,4.866868,-75.8,2136.2,-314.503228,31.1,-138045.4,359,15.8,1848.483426,-41.9
761,SONOS,2022,US,US,Leisure Goods,240.083545,11.3,1642.918387,2.1,14.6,43.330226,1.5,2.6,84.879091,-43.0,5.2,1844,20.9,1794.370682,-61.7
762,BOX,2022,US,US,Software & Computer Services,239.633517,13.9,929.002836,13.3,25.8,4.156199,-5.7,0.4,34.539673,-233.4,3.7,2487,14.5,3435.919168,-6.2
763,WEBASTO,2022,Germany,EU,Automobiles & Parts,239.6,23.3,4400,18.7,5.4,,,,,,,16800,19.3,,
764,HYGON,2022,China,China,Technology Hardware & Equipment,239.502566,203.8,682.594755,120.2,35.1,185.391488,83.6,27.2,145.704398,510.5,21.3,1419,24.1,1344.232146,
765,FACTSET RESEARCH SYSTEMS,2022,US,US,Support Services,239.1713,2.0,1728.757539,15.9,13.8,47.961768,-16.6,2.8,445.792428,0.3,25.8,11203,2.9,15430.43783,14.6
766,GN STORE NORD,2022,Denmark,EU,Technology Hardware & Equipment,239.089512,12.1,2512.860364,18.5,9.5,100.584339,2.7,4.0,149.397327,-53.7,5.9,7891,9.2,3879.727285,-55.9
767,INTERNATIONAL GAME TECHNOLOGY,2022,UK,RoW,Travel & Leisure,239.077545,7.1,3961.186775,1.5,6.0,297.206203,33.2,7.5,863.491839,-0.6,21.8,10786,2.9,3425.995232,-17.0
768,SINOPEC YIZHENG CHEMICAL FIBRE,2022,China,China,Oil & Gas Producers,238.969241,10.1,9900.6939,6.1,2.4,504.194026,16.5,5.1,196.957445,18.2,2.0,66792,-3.5,3478.270538,-11.6
769,NOVOZYMES,2022,Denmark,EU,Pharmaceuticals & Biotechnology,238.686099,-1.8,2360.370202,17.4,10.1,371.140076,157.7,15.7,613.322423,15.6,26.0,6781,3.9,13006.08293,-16.7
770,BIOCRYST PHARMACEUTICALS,2022,US,US,Pharmaceuticals & Biotechnology,237.280244,34.7,253.916291,72.3,93.4,1.266642,-43.4,0.5,-139.16657,-16.5,-54.8,531,48.3,2423.248416,-9.2
771,SIKA,2022,Switzerland,RoW,Chemicals,235.595654,8.3,10654.40727,13.4,2.2,241.688645,51.3,2.3,1604.182997,13.5,15.1,27708,2.4,34408.27256,-27.6
772,JS GLOBAL LIFESTYLE,2022,China,China,General Retailers,235.061979,6.3,4726.431806,-2.1,5.0,89.616577,48.2,1.9,464.087954,-16.4,9.8,5661,1.4,3915.068873,-52.2
773,DENALI THERAPEUTICS,2022,US,US,Pharmaceuticals & Biotechnology,234.641953,15.5,101.690461,122.9,230.7,16.719489,109.8,16.4,-319.467603,15.2,-314.2,427,12.4,3199.929948,-47.3
774,ZHEJIANG CENTURY HUATONG,2022,China,China,Automobiles & Parts,233.685542,-2.5,1500.323488,-18.5,15.6,42.837025,-81.1,2.9,-776.603095,-725.3,-51.8,5915,-19.3,3750.974118,-8.2
775,SICK,2022,Germany,EU,Electronic & Electrical Equipment,233.4,14.6,2189.8,11.5,10.7,146.9,108.1,6.7,164.3,-18.7,7.5,10635,7.3,,
776,2SEVENTY,2022,US,US,Pharmaceuticals & Biotechnology,233.203737,-5.0,85.782898,67.8,271.9,21.415722,97.3,25.0,-237.669331,-16.6,-277.1,425,-2.7,523.043685,
777,HOLCIM,2022,Switzerland,RoW,Construction & Materials,232.549158,-3.4,29641.38603,8.8,0.8,1573.007193,1.1,5.3,3271.936201,-26.8,11.0,60422,-13.3,27233.18391,-16.6
778,LEGO,2022,Denmark,EU,Leisure Goods,231.02125,63.9,8693.149461,16.9,2.7,791.496554,89.0,9.1,2409.855546,5.1,27.7,23775,17.7,,
779,RELAY THERAPEUTICS,2022,US,US,Pharmaceuticals & Biotechnology,230.972347,45.3,1.294768,-54.4,17838.9,8.496159,161.1,656.2,-280.587969,-15.2,-21670.9,327,33.5,2345.199668,-15.8
780,KANEKA,2022,Japan,Japan,Chemicals,230.901733,5.7,5342.079011,9.3,4.3,280.087358,6.2,5.2,247.999021,-17.4,4.6,11545,1.9,1802.318469,-17.7
781,IMMUNITYBIO,2022,US,US,Pharmaceuticals & Biotechnology,230.872966,25.7,0.225014,-74.3,102603.8,73.281486,132.9,32567.5,-329.362601,6.4,-146374.3,725,23.5,1501.234869,-64.0
782,SIRIUS XM,2022,US,US,Media,230.639514,7.4,8440.843677,3.5,2.7,399.400134,9.8,4.7,1916.370596,1.4,22.7,5869,5.0,22234.96468,-6.6
783,XEROX HOLDINGS,2022,US,US,Technology Hardware & Equipment,230.639514,-2.0,6663.231813,1.0,3.5,53.440863,-16.2,0.8,-203.450303,-50.9,-3.1,20500,-12.0,2424.122841,-35.6
784,DAI NIPPON PRINTING,2022,Japan,Japan,Media,230.576609,-1.6,9705.725268,2.2,2.4,355.664579,-6.1,3.7,388.367824,-13.2,4.0,36246,-0.8,6585.423577,12.3
785,SIMCERE PHARMACEUTICAL,2022,China,China,Pharmaceuticals & Biotechnology,230.446929,21.7,848.056874,26.4,27.2,46.007627,63.6,5.4,-150.177867,-579.6,-17.7,7832,26.7,2498.159725,1.8
786,MADRIGAL PHARMACEUTICALS,2022,US,US,Pharmaceuticals & Biotechnology,230.115418,19.6,0,,,0.20345,3.8,,-275.240133,21.1,,92,29.6,1156.476114,-10.2
787,NINESTAR,2022,China,China,Technology Hardware & Equipment,229.727252,18.6,3407.523426,13.2,6.7,144.558821,38.8,4.2,330.386209,0.2,9.7,22336,2.5,6978.89613,46.3
788,TIANDI SCIENCE & TECHNOLOGY,2022,China,China,Industrial Engineering,228.808704,17.9,3558.753196,15.9,6.4,76.483797,47.3,2.1,412.691837,20.1,11.6,20513,-3.3,2838.201573,-6.1
789,FLUTTER ENTERTAINMENT,2022,Ireland,EU,Travel & Leisure,227.986332,41.6,8704.438969,27.5,2.6,114.84175,13.7,1.3,-87.347617,31.5,-1.0,21513,28.0,22023.07987,-23.8
790,SHENZHEN GOODIX TECHNOLOGY,2022,China,China,Technology Hardware & Equipment,227.868503,-5.3,442.128586,-40.9,51.5,80.00575,-0.3,18.1,-92.198043,-194.6,-20.9,1800,-16.3,3499.210366,-45.1
791,SWEDISH ORPHAN BIOVITRUM,2022,Sweden,EU,Pharmaceuticals & Biotechnology,226.852719,23.1,1689.481803,21.0,13.4,6.473799,53.2,0.4,345.808782,1.5,20.5,1556,-0.2,6505.8246,26.7
792,GCL TECHNOLOGY,2022,China,China,Electricity,226.232879,62.0,4932.056094,86.6,4.6,2055.557174,160.6,41.7,1892.240328,192.6,38.4,11527,30.1,9179.380148,
793,MKS INSTRUMENTS,2022,US,US,Technology Hardware & Equipment,225.951719,20.5,3325.521773,20.3,6.8,153.759676,89.2,4.6,636.602561,-8.2,19.1,10450,74.2,5205.794572,-32.0
794,SHANDONG HI-SPEED ROAD & BRIDGE,2022,China,China,Construction & Materials,225.827431,33.2,8371.294138,13.6,2.7,60.272589,-15.7,0.7,576.008952,16.2,6.9,28018,13.5,1774.09764,276.0
795,BLUEBIRD BIO,2022,US,US,Pharmaceuticals & Biotechnology,225.730455,-50.6,3.372399,-1.8,6693.5,7.695484,-43.4,228.2,-264.534146,-50.1,-7844.1,323,-37.6,422.268171,-63.6
