World rank,Company,Country,Region,Industry-ICB3 sector name,R&D 2021 (€million),R&D one-year growth (%),Net sales (€million),Net sales one-year growth (%),R&D intensity (%),Capex (€million),Capex one-year growth (%),Capex intensity (%),Op.profits (€million),Op.profits one-year growth (%),Profitability (%),Employees,Employees one-year growth (%),Market cap (€million),Market cap one-year growth (%)
185,TELECOM ITALIA,Italy,EU,Fixed Line Telecommunications,1072,-4.456327986,15316,-3.093957608,6.999216506,2665,-23.35346563,17.40010447,590,-72.20913801,3.852180726,47930,-8.437923854,5875.784606,-3.087915314
186,BOSTON SCIENTIFIC,US,US,Health Care Equipment & Services,1063.040496,5.706760316,10496.20051,19.923333,10.12786003,489.139896,47.34042553,4.660161507,1538.053608,372.0867209,14.65343203,41000,7.894736842,56760.49036,9.543413076
187,MODERNA,US,US,Pharmaceuticals & Biotechnology,1056.860028,56.10002944,16308.4892,2199.118121,6.48042878,250.750416,321.0651236,1.537545341,11739.3575,-1842.266204,71.98310866,2700,107.6923077,134248.1794,493.833512
188,CORTEVA,US,US,Chemicals,1048.030788,3.940455342,13822.17522,10.11465147,7.582242095,505.915452,20.63157895,3.660172469,1162.810908,56.22775801,8.412647716,21000,0,28502.65441,51.05115345
189,ILLUMINA,US,US,Pharmaceuticals & Biotechnology,1046.26494,73.75366569,3996.114024,39.73448595,26.18205921,183.648192,10.05291005,4.595669465,-108.599652,-121.2068966,-2.717631463,9850,25.47770701,59213.62698,28.59074663
190,MAZDA MOTOR,Japan,Japan,Automobiles & Parts,1040.723182,5.642224835,24122.50259,8.26778429,4.314325092,942.728746,69.89801614,3.908088485,800.406437,1268.618646,3.318090377,48750,-2.080906279,4664.498082,40.44117647
191,THALES,France,EU,Aerospace & Defence,1040.7,-0.847942073,17857.2,5.110984231,5.827901351,518.4,11.62790698,2.90303071,1450,88.7038001,8.119974016,81098,0.490694159,18338.15084,31.22923927
192,SANY HEAVY INDUSTRY,China,China,Industrial Engineering,1029.427652,23.33387521,14294.7469,6.970457626,7.201440215,1427.554388,103.560299,9.986566378,1814.40979,-27.36510837,12.69284306,23695,-3.624013666,30867.82069,18.72585405
193,L'OREAL,France,EU,Personal Goods,1028.7,6.667357943,32287.6,15.34540102,3.18605285,1075.2,10.57178116,3.330070987,5735.9,27.50127815,17.76502434,85412,0.023421398,221005.3101,42.67786055
194,CSL,Australia,RoW,Pharmaceuticals & Biotechnology,1020.836728,15.45835829,9264.609824,2.21912657,11.0186694,952.498411,-9.821951017,10.28104183,2584.671717,-6.472843472,27.89833319,25000,0,90954.80547,9.243151163
195,GINKGO BIOWORKS,US,US,Pharmaceuticals & Biotechnology,1015.064171,619.5866512,277.094219,,366.3245573,49.903747,,18.00966732,-1614.397397,1344.286735,-582.616773,641,,1380.010221,
196,LG CHEM,South Korea,RoW,General Industrials,1010.174882,21.17672682,31738.47781,41.90393439,3.182808224,4391.949404,4.296387085,13.83793335,3739.343116,178.3638046,11.78173427,,,39814.91385,2.432432432
197,CHINA UNITED NETWORK COMMUNICATIONS,China,China,Mobile Telecommunications,1007.299188,68.84252238,40848.40901,7.384024929,2.465944727,9985.568712,22.83043368,24.44542873,2417.489265,13.08909198,5.918196874,242661,0.223028981,17860.57653,15.48745992
198,PALO ALTO NETWORKS,US,US,Software & Computer Services,1006.886529,48.47025127,3757.812836,24.87090718,26.7944832,102.419184,-45.89552222,2.725499871,-268.497188,69.8882679,-7.145038875,10473,30.68380334,39650.45268,81.02672883
199,CADENCE DESIGN SYSTEMS,US,US,Software & Computer Services,1001.480385,9.630960586,2638.392345,11.38149108,37.95797797,57.653171,-31.12969765,2.185162912,686.951071,18.8271553,26.03672923,9300,5.681818182,39950.53916,46.33397844
200,ACCENTURE,Ireland,EU,Support Services,987.391567,28.45231683,44617.14195,14.00127358,2.213031861,512.212465,-3.171254421,1.148017203,6729.23087,17.00868207,15.08216478,624000,23.3201581,198034.7663,40.85057616
201,AUTODESK,US,US,Software & Computer Services,984.283675,19.54959783,3872.857833,15.72393415,25.41491884,49.443744,-38.52908861,1.276673354,545.293862,-1.828008267,14.07988327,12600,9.565217391,60191.95084,26.53554545
202,CARL ZEISS,Germany,EU,Health Care Equipment & Services,981.351,16.96590966,7528.928,19.56372876,13.03440543,755.95,56.18801653,10.04060605,1479.548,60.47158351,19.65150948,33741,4.782460172,,
203,NEC,Japan,Japan,Software & Computer Services,976.125398,10.15572514,23301.08409,0.670402328,4.189184479,440.256009,-3.975921874,1.889422858,1024.511891,-13.80992334,4.396842169,117418,2.357166518,12191.88252,3.398926658
204,KLA,US,US,Technology Hardware & Equipment,975.7458,19.04084835,8133.392585,33.14405496,11.99678719,271.340203,32.67825981,3.336125733,3431.990924,56.16816346,42.19630232,,,45845.40718,62.81689377
