NAME,TAGLINE,HQ REGION,HQ COUNTRY,HQ CITY kész,LATITUDE,LONGITUDE,TOTAL FUNDING (EUR M) kész,TAGS,INDUSTRIES,SUB INDUSTRIES,GROWTH STAGE,INVESTORS,EACH INVESTOR TYPES,Closest FUA
Tiamat Energy,"A start-up that designs, develops, and produces innovative solutions for energy storage applications",Europe,France,Amiens,49.8995185,2.2991932,5.25,battery;sustainable development goals;climate tech,energy,energy storage,seed,Finovam;Picardie Investissement;Bpifrance;European Innovation Council;Turenne Capital;CAP3Ri;Nord Capital Partenaires,venture_capital;venture_capital;venture_capital;government;venture_capital;venture_capital;venture_capital,Lille
Avantium Technologies,"Provides high-throughput RandD technologies for applications in the energy, chemicals and pharmaceutical industries",Europe,Netherlands,Amsterdam,52.3959411,4.8522245,174.92,biofuel;biotechnology;chemistry;sustainable development goals;chemical;biopolymers;industrial technology;advanced materials;innovative material tech;polymers and polymer alternatives;chemical technology;climate tech,health;energy,pharmaceutical,late growth,Capricorn Partners;Aster Capital;ING Bank Corporate Finance;Aescap;Navitas Capital;Sofinnova Partners;Danone;PMV;De Hoge Dennen Capital;ALPLA;FPIM;Eurostars SME programme;European Innovation Council;Thuja Capital;Horizon 2020 FTI (Fast Track to Innovation);Molten Ventures (Formerly Draper Esprit);Signet Healthcare Partners;SFPI-FPIM;Quest for Growth;Eindhoven University of Technology (TU/e),venture_capital;venture_capital;advisor;venture_capital;venture_capital;venture_capital;corporate;venture_capital;private_equity;corporate;corporate;government;government;venture_capital;government;venture_capital;venture_capital;venture_capital;venture_capital;university,Amsterdam
Urbee,Electric bike sharing platform,Europe,Netherlands,Amsterdam,52.3679843,4.9035614,4.2,bicycle;sustainable development goals;bike;micromobility;e-bike;climate tech,energy;transportation,mobility,seed,AKEF,venture_capital,Amsterdam
Degree-n,,Europe,Netherlands,Amsterdam,52.2291696,5.1668974,2.0,nano technology;sustainable development goals;building cooling;climate tech,energy;home living,,seed,Techfront Ventures,venture_capital,Utrecht
Dexter Energy Services,Manages imbalance for energy companies and industrials using artifical intelligence,Europe,Netherlands,Amsterdam,52.3824313,4.9212566,2.0,climate tech;sustainable development goals,energy,energy efficiency,early growth,Generation-E;PDENH;DutchBasecamp;Andreas Gelfort;Stephen Asplin;Newion;Starter Business Acceleration,venture_capital;venture_capital;non-profit;angel;angel;venture_capital;accelerator,Amsterdam
FlexiDAO,A software as a service that helps Energy Retailers to sell cleaner and cheaper energy by two different services,Europe,Netherlands,Amsterdam,52.3666969,4.8945398,1.0,sustainable development goals;climate tech,energy,energy providers;clean energy;energy efficiency,early growth,EIT InnoEnergy;SET Ventures;Acciona I'mnovation;Intelectium;KIC InnoEnergy SE,venture_capital;venture_capital;accelerator;accelerator;corporate,Amsterdam
AMMP Technologies,Remote monitoring for the next generation of energy companies,Europe,Netherlands,Amsterdam,52.3824571,4.9214117,1.15,solar energy;sustainable development goals;off-grid;energy tech;industrial technology;climate tech,energy;semiconductors,clean energy;energy providers;energy efficiency,early growth,E.ON :agile accelerator;Point Nine;Musha Ventures;Raba Capital,accelerator;venture_capital;angel_fund;venture_capital,Amsterdam
Greener Power Solutions,"We deliver clean and sustainable power solutions for any project, everywhere!",Europe,Netherlands,Amsterdam,52.3882917,4.8263478,2.5,climate tech;sustainable development goals;lithium ion batteries,energy,energy storage;energy efficiency,early growth,DutchBasecamp;Alfen Beheer BV,non-profit;corporate,Amsterdam
Maxem Energy Solutions,Combination of hardware and cloud solutions to install e-mobility and sustainable energy at scale,Europe,Netherlands,Amsterdam,52.3947977,4.8464811,1.01,sustainable development goals;climate tech,energy;transportation,mobility;energy efficiency;energy providers,early growth,UtrechtInc,accelerator,Amsterdam
Woon Duurzaam,An innovative one-stop-shop cloud platform that brings the customer clarity in the business of home renovation,Europe,Netherlands,Amsterdam,52.3903113,4.9054795,1.0,sustainable development goals;climate tech,real estate;energy,clean energy;energy storage;energy efficiency,early growth,EIT InnoEnergy;Rabobank;DOEN Participaties;The Sharing Group,venture_capital;corporate;venture_capital;corporate,Amsterdam
EcoChain Technologies,"Provide insights on envoirnmental impact, CO2 footprinting, energy efficiency and resource flows to determine returns on sustainable investments on a financial and environmental level",Europe,Netherlands,Amsterdam,52.3368263,4.9293853,2.0,analytics;startupamsterdam;sustainable development goals;climate tech,energy;enterprise software,energy efficiency,early growth,Volta Ventures;ScaleUpNation,venture_capital;accelerator,Amsterdam
NewMotion,Charging solutions for electric vehicles,Europe,Netherlands,Amsterdam,52.3642069,4.8917925,13.55,electric vehicle;car;automotive;startupamsterdam;sustainable development goals;ev charging operations and monitoring;ev charging infrastructure;ev charging software;ev charging hardware;ev charging;climate tech,energy;transportation,mobility,late growth,Entrepreneurs Fund;DOEN Participaties;Royal Dutch Shell;AutoBinck Group,venture_capital;venture_capital;corporate;corporate,Amsterdam
Photanol,Converting sun energy and carbon dioxide to produce organic compounds,Europe,Netherlands,Amsterdam,52.3564615,4.9591237,10.7,biofuel;startupamsterdam;sustainable development goals;eic;carbon capture and storage;solar energy;chemical technology;climate tech;synthetic biology,energy,clean energy;energy efficiency,early growth,Icos Capital;UvA Ventures;European Innovation Council;University of Amsterdam,venture_capital;venture_capital;government;university,Amsterdam
goegonetwork,goEgo - Intelligent Network for EV Mobility,Europe,Netherlands,Amsterdam,52.3114207,4.870087,1.82,ev charging,energy;transportation,mobility,early growth,Rishi Kumar Bagla;Olivier Guillaumond,angel;angel,Amsterdam
Seenons,Commercial waste | makes sustainable waste separation easy,Europe,Netherlands,Amsterdam,52.3975437,4.8775187,7.75,sustainable development goals;industrial technology;industrial marketplace;climate tech,energy,waste solution,early growth,Tablomonto Ventures;CapitalT;Shamrock Ventures,venture_capital;venture_capital;venture_capital,Amsterdam
Vandebron,Allows consumers to buy renewable energy directly from suppliers,Europe,Netherlands,Amsterdam,52.3702157,4.8951679,2.0,startupamsterdam;sustainable development goals;energy tech;industrial technology;climate tech,energy,energy providers;clean energy,late growth,AKEF;SHIFT Invest;Ponooc;Essent,"venture_capital;venture_capital;family_office,venture_capital;company",Amsterdam
BigSolar,Offers solar panels to home-owners and helps them save on their electricity bills,Europe,Netherlands,Amsterdam,52.3466556,4.8372475,3.0,solar energy,energy,clean energy;energy efficiency;energy providers,seed,AKEF;DOEN Participaties,venture_capital;venture_capital,Amsterdam
Sungevity International,Develops remote solar designs and installation services for home solar electric systems,Europe,Netherlands,Amsterdam,52.363326,4.978385,247.27,startupamsterdam;performance management;solar energy;sustainable development goals;pay per result;climate tech,energy,clean energy,late growth,Firelake Capital Management;Vision Ridge Partners;GE Ventures;CCM Energy;Jetstream Capital;Apollo Investment Corporation;Engie Rassembleurs d’Energies,venture_capital;venture_capital;corporate_venture_fund;venture_capital;venture_capital;venture_capital;venture_capital,Amsterdam
Perpetual Next,"Producer of renewable carbon, biochar, green gases and green hydrogen from organic residues",Europe,Netherlands,Amsterdam,52.4044976,4.8872422,450.0,recycling;energy infrastructure project;biotechnology in food;biofuel;commodities;sustainable development goals;organic waste;climate tech;biomass;carbon capture and storage,energy,waste solution,late growth,Momentum Capital,"private_equity,venture_capital",Amsterdam
WakaWaka,"WakaWaka develops, engineers, manufactures and markets lighting and phone charging product concepts",Europe,Netherlands,Amsterdam,52.3808387,4.6279844,3.79,solar energy;social entrepreneurship;sustainable development goals;luxury;climate tech,energy,clean energy,early growth,Oneplanetcrowd,crowdfunding,Amsterdam
De Windcentrale,Accelerates the switch to sustainable energy in the Netherlands by setting up cooperatives that own wind turbines,Europe,Netherlands,Amsterdam,52.371153,4.8790104,2.9,startupamsterdam;wind energy;crowdfunding,fintech;energy,clean energy;wealth management,seed,Ponooc,"family_office,venture_capital",Amsterdam
ViriCiti,Monitoring for electric city buses and trucks,Europe,Netherlands,Amsterdam,52.3922678,4.8471172,6.95,truck;bus;electric vehicle;sustainable development goals;ev fleet management;industrial technology;logistics tech;logistics management;smart cities;location based;ev charging;climate tech,energy;transportation,navigation & mapping;logistics & delivery,early growth,Mainport Innovation Fund;Greenlink;European Innovation Council;Energy Impact Partners (EIP);ChargePoint;EIT Climate-KIC,venture_capital;corporate;government;venture_capital;corporate;accelerator,Amsterdam
Zola Electric (formerly Off Grid Electric),"Powering off-grid homes across Africa with affordable, renewable energy",Europe,Netherlands,Amsterdam,52.3875664,4.8418842,143.64,startupamsterdam;solar energy;sustainable development goals;off-grid;climate tech,energy,clean energy,late growth,Electranova Capital;Omidyar Network;Vulcan Capital;Zouk Capital;Helios Investment Partners;Aster Capital;GE Ventures;DBL Partners;Tesla Motors;TotalEnergies Carbon Neutrality Ventures;SunFunder;Électricité de France (EDF group);Eurazeo;TotalEnergies;Lyndon Rive;Peter Rive;FMO Entrepreneurial Development Bank;DBL Partners;Symbiotics Group;Unreasonable Group,"corporate_venture_fund;corporate_venture_fund,family_office,venture_capital;private_equity,venture_capital;advisor,private_equity;private_equity,venture_capital;venture_capital;corporate_venture_fund;venture_capital;corporate;corporate_venture_fund;investment fund;corporate;private_equity,venture_capital;corporate;angel;angel;corporate;venture_capital;venture_capital;corporate",Amsterdam
Sympower,Sympower unlocks revenue streams by maximizing the value of flexibility across energy markets and industries,Europe,Netherlands,Amsterdam,52.3708121,4.8832089,9.19,appliances;startupamsterdam;smart grid;sustainable development goals;energy tech;industrial technology;climate tech,energy,energy efficiency;clean energy,late growth,Rockstart;Rubio Impact Ventures;PDENH;Kees Koolen;Enfuro Ventures;Casper Peeters;EIT Climate-KIC;Plug and Play,venture_capital;venture_capital;venture_capital;angel;venture_capital;angel;accelerator;venture_capital,Amsterdam
GreenFlux,Empowering customers to accelerate EV adoption and the use of sustainable energy with our smart EV charging platform,Europe,Netherlands,Amsterdam,52.3627231,4.9209759,11.0,charging technology;sustainable development goals;ev charging;smart grid;ev charging operations and monitoring;ev charging software;climate tech,energy;transportation,clean energy;energy efficiency;mobility;energy storage,late growth,BOM Brabant Ventures;Eneco group;ICT Automatisering;SET Ventures;DKV Mobility Services Group,venture_capital;corporate_venture_fund;corporate;venture_capital;corporate,Amsterdam
Sunchem,Sunchem is an industrial research and develop company operating in the sector of genetic applied to plant for energy purposes,Europe,Netherlands,Amsterdam,52.3679843,4.9035614,1.17,biofuel;sustainable development goals;climate tech,energy,clean energy,seed,European Innovation Council,government,Amsterdam
Triple Solar,Designer and manufacturer of solar panels in combination with a heat pump,Europe,Netherlands,Amsterdam,52.4118391,4.8781575,1.2,solar energy;heat pump;climate tech;sustainable development goals,energy,clean energy;energy efficiency,early growth,Erik Schut;Ruud Rijbroek;DOEN Participaties;PDENH;DutchBasecamp;Enfuro Ventures;Rabobank,angel;angel;venture_capital;venture_capital;non-profit;venture_capital;corporate,Amsterdam
Lumos,"Clean, affordable solar power to a market of 1.3 billion potential customers who live off the electricity grid.",Europe,Netherlands,Amsterdam,52.3178122,4.8724388,104.55,solar energy;sustainable development goals;off-grid;climate tech,energy,energy providers;clean energy,late growth,OPIC;Pembani Remgro;Federal government of Nigeria;MoreVC,government & non-profit;venture_capital;government;venture_capital,Amsterdam
Madaster,Gives materials an identity through a Material Passport,Europe,Netherlands,Amsterdam,52.2628294,5.2027028,3.51,identity management;sustainable development goals;climate tech,real estate;energy,construction;waste solution,seed,European Innovation Council,government,Utrecht
Chargetrip,Smart EV Routing and Navigation,Europe,Netherlands,Amsterdam,52.3686517,4.9072115,0.91,mobility;electric vehicle;predictive analytics;sustainable development goals;ev routing;ev charging,energy;transportation,logistics & delivery;clean energy;mobility;navigation & mapping,early growth,Vindeggen;APX;TotalEnergies Carbon Neutrality Ventures;IMPACT Accelerator;APX Ventures;Startup Autobahn;MobilityXlab;Blue Bear Capital,"venture_capital;private_equity,venture_capital;corporate_venture_fund;accelerator;private_equity,venture_capital;corporate;accelerator;venture_capital",Amsterdam
Vandersat,Observes water and temperature at field scale across the globe using satellites,Europe,Netherlands,Amsterdam,52.3794192,4.6274194,1.34,satellite imagery;precision agriculture;irrigation;weather forecasting;sustainable development goals;space tech;parametric insurance;climate tech;esa phi-lab;esa;space downstream;space tech to agriculture and food,food;energy,water;agritech,early growth,European Innovation Council;Rubio Impact Ventures;DutchBasecamp;Planet Labs,government;venture_capital;non-profit;company,Amsterdam
YellowPallet,Transforms banana stems into transport pallets,Europe,Netherlands,Amsterdam,52.3873878,4.6462194,1.3,food waste;sustainable development goals;climate tech,energy,waste solution,seed,StartLife;Pomona Impact;EIT Climate-KIC,"advisor,venture_capital;venture_capital;accelerator",Amsterdam
Innecs Power Systems,Developing premium industrial energy conversion systems,Europe,Netherlands,Amsterdam,52.1941729,4.7377187,4.0,oil & gas;sustainable development goals;climate tech,energy,clean energy,early growth,BOM Brabant Ventures;ENERGIIQ;Netherlands Enterprise Agency (RVO),venture_capital;venture_capital;government,Leiden
DyeCoo Textile Systems,DyeCoo provide the world’s first water-free and process chemical-free dyeing solution,Europe,Netherlands,Amsterdam,52.3147588,5.0219136,8.16,sustainable development goals;climate tech,energy,,early growth,Eurostars SME programme;Nike,government;corporate,Amsterdam
Solenco Powerbox NV,Provides a one-stop solution for both heat and power needs,Europe,Belgium,Antwerp,51.3055797,4.9236658,1.96,eic;hydrogen;sustainable development goals;climate tech,energy,clean energy;energy storage,seed,European Innovation Council,government,Antwerp
NovoPolymers,Focused on the development and production of encapsulant solutions for the photovoltaic industry,Europe,Belgium,Antwerp,51.0629005,4.3225453,12.6,solar energy;developer tools,energy,clean energy,seed,GIMV;Capricorn Partners;SFPI-FPIM;Capital-E,private_equity;venture_capital;venture_capital;venture_capital,Antwerp
June Energy,"Constantly looks for the best market prices and switches automatically between energy suppliers, based on personal consumption",Europe,Belgium,Antwerp,51.2033638,4.4222345,2.53,smart home;sustainable development goals;climate tech,energy,energy providers;energy efficiency,seed,Belgian Media Ventures;4Ventures,venture_capital;venture_capital,Antwerp
Conjoule,Building a decentralised energy marketplace where users can transact electricity without the need of a middleman,Europe,Germany,Ruhr,51.4577634,7.0130217,4.5,trading;peer-to-peer;entertainment;solar energy;sustainable development goals;climate tech,energy,,early growth,Tokyo Electric Power Company;Innogy Ventures;Ruhr:Hub,corporate;corporate_venture_fund;accelerator,Dusseldorf
Turbulent,Provide reliable and renewable energy to even the most remote locations in the world,Europe,Belgium,Antwerp,51.2186612,4.4040624,2.58,hydraulic;sustainable development goals;hydropower;off-grid;energy supply;climate tech,energy,clean energy,early growth,European Innovation Council;Inventures Investment Partners;imec.istart;Start it @KBC,government;venture_capital;accelerator;accelerator,Antwerp
InOpSys,Development and operation for on-site treatment of industrial side and wastewater streams from pharmaceutical and chemical production,Europe,Belgium,Antwerp,51.05371,4.447274,1.5,recycling;waste reduction;sustainable development goals;climate tech;spinout,energy;transportation,water,early growth,Innovation Fund;Gemma Frisius Fund - GFF;Vlaamse Milieuholding (VMH);Air Liquide;ALIAD (Air Liquide);Telos Impact Investing;KU Leuven,"venture_capital;venture_capital;venture_capital;corporate;corporate_venture_fund;advisor,family_office;university",Antwerp
Qpinch,A radical innovation in industrial heat pump technology that brings a quantum leap to industrial energy efficiency,Europe,Belgium,Antwerp,51.2305651,4.4032441,4.0,sustainable development goals;heat pump;climate tech;spinout,energy,clean energy;oil & gas;energy efficiency,early growth,SABIC;Capricorn Partners;Quest for Growth;Ghent University,corporate;venture_capital;venture_capital;university,Antwerp
PlugInvest,"In Antwerpen, Belgium, ​supplies and installs charging stations for ​​​electric ​vehicles at home and at work",Europe,Belgium,Antwerp,51.2047272,4.3923628,4.35,ev charging hardware;sustainable development goals;ev charging;climate tech,energy;transportation,mobility,early growth,Colruyt Group;Cardoen,corporate;corporate,Antwerp
Allego.eu,"Delivers charging solutions for electric cars, motors, buses and trucks, for consumers, businesses and cities",Europe,Netherlands,Arnhem,51.9708145,5.9520703,146.36,battery;car charging;ev charging hardware;ev charging software;ev charging operations and monitoring;ev charging;spac target;spac ipo closed;verified unicorns and $1b exits,energy;transportation,mobility;energy storage,late growth,Meridiam;Spartan Acquisition Corp. III;Fisker Automotive;Landis+Gyr;Hedosophia;Emerging Capital Partners - ECP;Apollo,"private_equity;corporate;corporate;corporate;venture_capital;private_equity,venture_capital;private_equity",Utrecht
Plantics,Plantics: Biodegradable bio-plastic from 100% renewables,Europe,Netherlands,Arnhem,51.9701813,5.9486945,2.0,startupamsterdam;biodegradable;chemistry;sustainable development goals;industrial technology;advanced materials;innovative material tech;polymers and polymer alternatives;climate tech;spinout,energy,waste solution,early growth,Ace Incubator;European Innovation Council;University of Amsterdam;UvA Ventures,accelerator;government;university;venture_capital,Utrecht
Everfuel,"Hydrogen fueling convenient, compact and competitive",Europe,Denmark,Aulum,56.314794,8.823018,17.0,hydrogen;sustainable development goals;climate tech,energy;transportation,clean energy;logistics & delivery,late growth,European Investment Bank;Saga Pure;Tjuvholmen ventures;Tjuvolmen Ventures,government & non-profit;investment fund;venture_capital;investment fund,Aarhus
Eléments,"Production of renewable energies (wind power, solar and hydroelectric)",Europe,France,Avignon,43.9984783,5.0549027,2.5,hydropower;solar energy;wind energy;sustainable development goals;climate tech,energy,clean energy,late growth,Noria Invest,venture_capital,Marseille
Hubcycle,Offers a hub which converts fruit and vegetable wastes into innovative raw materials for personal care and food industries,Europe,France,Avignon,43.9099208,4.8909073,5.0,food waste;sustainable development goals;climate tech,food;energy,waste solution,early growth,Plug and Play;Daphni;Swen Capital Partners;Sofiane Ammar;Cedric Sellin;Citizen Capital;Bleu Capital,"venture_capital;venture_capital;venture_capital;angel;angel;venture_capital;family_office,venture_capital",Marseille
Onyx Solar,The global leader in solar PV glass for buildings,Europe,Spain,Avila,40.6698213,-4.682602,2.64,solar energy;sustainable development goals;smart building;climate tech,real estate;energy,clean energy,late growth,JME Ventures;European Innovation Council;Eurostars SME programme;Horizon 2020 FTI (Fast Track to Innovation);Executive Agency for Small and Medium-sized Enterprises,venture_capital;government;government;government;government,Madrid
Fundeen,Invest in renewable energy projects from just € 500,Europe,Spain,Avila,40.6541945,-4.6964095,1.86,crowdfunding;sustainable development goals;climate tech,fintech;energy,wealth management,early growth,Adrián Bautista Sánchez;Nacho Bautista Sánchez;Institute for Energy Diversification and Saving;Grupo Enhol;EIT Climate-KIC,angel;angel;service provider;corporate;accelerator,Madrid
BHSL,Turning chicken manure into energy,Europe,Ireland,Ballagh,52.37682,-9.053236,7.0,chicken;primary production;biomass;sustainable development goals;climate tech,food;energy,agritech,early growth,,,Limerick
Floating Power Point,"Designs, develops and provides a unique floating patented platform for wind and wave energy",Europe,Denmark,Bandholm,54.8346439,11.4798798,1.39,innovation radar;sustainable development goals;wind energy;hydropower;marine energy;climate tech,energy,clean energy;water,early growth,European Innovation Council;Eurostars SME programme,government;government,Odense
DEXMA,,Europe,Spain,Barcelona,41.4366574,2.1689587,3.93,smart grid;sustainable development goals;energy tech;industrial technology;climate tech,energy;enterprise software,energy efficiency,late growth,JME Ventures;Greg Lee;Inveready;CDTI;Estiriac SL;Boyser SRL;European Innovation Council;EUREKA Network Projects,venture_capital;angel;venture_capital;government & non-profit;venture_capital;venture_capital;government;non-profit,Barcelona
X1 Wind,"X1 Wind is developing a disruptive floating wind platform, which significantly reduces the weight and costs, through it’s weathervaning downwind design and single point mooring system (PivotBuoy®)",Europe,Spain,Barcelona,41.3850639,2.1734035,8.22,wind energy;sustainable development goals;eicfund;climate tech,energy,clean energy,early growth,EIT InnoEnergy;European Commission;Technip Energies;European Innovation Council;EIC Fund (European Innovation Council Fund),venture_capital;investment fund;corporate;government;venture_capital,Barcelona
Unlimited Engineering,Unlimited Electric Skateboards,Europe,Spain,Barcelona,41.38804,2.17001,1.01,electric vehicle;sustainable development goals;truck;climate tech,energy;transportation,vehicle production;mobility,early growth,Techstars;Techstars Berlin;Techstars Dubai;Techstars Berlin Accelerator,accelerator;accelerator;accelerator;event,Barcelona
Wallbox,Wallbox creates smart charging and energy management solutions to advance electric vehicle adoption and sustainable energy use,Europe,Spain,Barcelona,41.3558943,2.1412212,196.86,electric vehicle;ev charging hardware;ev charging software;sustainable development goals;spac target;verified unicorns and $1b exits;spac ipo closed;ev charging;climate tech,energy;transportation,energy efficiency;mobility,late growth,Iberdrola;Seaya Ventures;Endeavor Catalyst;Cathay Innovation;WIND Ventures;Cathay Capital;Plug and Play;Kensington Capital Acquisition Corp II;Kensington Capital Partners;Janus Henderson Investors;Luxor Capital;Endeavor;Desafia,corporate;venture_capital;venture_capital;venture_capital;venture_capital;private_equity;venture_capital;corporate;venture_capital;venture_capital;venture_capital;venture_capital;accelerator,Barcelona
SolarMente,"Makes residential solar power simple for any homeowner by combining hardware, installation, warranties, financing, insurance, and ongoing technical support",Europe,Spain,Barcelona,41.4064913,2.1928684,1.91,solar energy;sustainable development goals;climate tech,energy,clean energy,seed,Y Combinator;Global Founders Capital;Soma Capital;Plug and Play,accelerator;venture_capital;venture_capital;venture_capital,Barcelona
Holaluz,Online electricity retailer in Spain,Europe,Spain,Barcelona,41.38065,2.18554,4.3,outsourcing;sustainable development goals;energy tech;industrial technology;climate tech,energy,energy providers,late growth,Axon Partners Group;ENISA,"private_equity,venture_capital;venture_capital",Barcelona
Bioo,"Bioo generates electricity from nature. In addition to powering small appliances at home, Bioo Sensor offers a patented solution for IoT in agriculture that is cheaper, more autonomous, more reliable, and more sustainable. With numerous awards and backing from the EU, Bioo is now seeking to grow exponentially",Europe,Spain,Barcelona,41.3850639,2.1734035,4.27,sustainable development goals;climate tech,energy,clean energy,early growth,SeedRocket;Inkemia;European Innovation Council;Horizon 2020 FET (Future and Emerging Technologies);SociosInversores;WA4STEAM;SEK Lab EdTech Accelerator;European Commission;Francisco Espinosa;Marta Huidobro;Pablo Carrallo;JuanJosé Mostazo Salazar;Tensor Ventures;Levels Up Ventures;FX Street,accelerator;corporate;government;government;corporate;angel_fund;accelerator;investment fund;angel;angel;angel;angel;venture_capital;venture_capital;corporate,Barcelona
Smalle Technologies,System of electric power generation from sea waves,Europe,Spain,Barcelona,41.3850639,2.1734035,2.57,sustainable development goals;hydropower;climate tech,energy,clean energy;water,seed,Crowdcube;European Innovation Council;EIT InnoEnergy;REPSOL Foundation,"crowdfunding;government;venture_capital;corporate_venture_fund,venture_capital",Barcelona
Sadako Technologies,"Engineering start-up specialized in detection systems for industrial, security and disarmament purposes",Europe,Spain,Barcelona,41.3568606,2.1106617,2.16,sustainable development goals;nuclear fission;industrial connectivity;industrial technology;waste treatment robots;industrial robotics;climate tech,energy;enterprise software,waste solution,early growth,European Innovation Council;Creas;Asimov Ventures;Nvidia;EIT InnoEnergy,"government;private_equity,venture_capital;venture_capital;corporate;venture_capital",Barcelona
Aeinnova,We digitalize manufacturing industries to become more profitable and environmentally friendly,Europe,Spain,Barcelona,41.5640456,2.0020104,6.17,industrial iot;sustainable development goals;industrial connectivity;industrial technology;smart cities;infrastructure;industrial automation;industry 4.0;cloud computing;predictive maintenance;facility inspection and maintenance robots;machinery;energy tech;climate tech,energy,oil & gas;energy efficiency;waste solution,early growth,EIT InnoEnergy;Horizon 2020 FET (Future and Emerging Technologies);REPSOL Foundation;Banco Sabadell;European Commission;BIND 4.0 - Basque Open Innovation Platform;Plug and Play;Executive Agency for Small and Medium-sized Enterprises;Autonomous University of Barcelona (UAB);European Innovation Council,"venture_capital;government;corporate_venture_fund,venture_capital;corporate;investment fund;accelerator;venture_capital;government;university;government",Barcelona
Picvisa,"Machine vision systems for sorting materials, with high focus on the recycling industry",Europe,Spain,Barcelona,41.3850639,2.1734035,1.2,plastic;recycling;waste reduction;sustainable development goals;industrial robotics;industrial technology;waste treatment robots;climate tech,energy,waste solution,early growth,European Innovation Council;Executive Agency for Small and Medium-sized Enterprises,government;government,Barcelona
Submer Technologies,Immersion Cooling Solution for Data Centers,Europe,Spain,Barcelona,41.3661865,2.1164942,47.06,cooling tech;sustainable development goals;climate tech,energy;hosting,energy efficiency,late growth,European Innovation Council;Alma Mundi Ventures;Big Sur Ventures;Lánzate;Plug and Play;Norrsken VC;Planet First Partners;Andreas Mihalovits;Tim Reynolds;Norrsken Foundation,government;venture_capital;venture_capital;accelerator;venture_capital;venture_capital;venture_capital;angel;angel;corporate,Barcelona
TAPP Water,,Europe,Spain,Barcelona,41.3850639,2.1734035,3.48,water treatment;sustainable development goals;climate tech,energy;home living,water,early growth,Primer;European Innovation Council;Bluewater;Yabeo Capital,accelerator;government;corporate;venture_capital,Barcelona
Millor energy solutions,"Design, development and manufacturing of  World best of its class battery packs for hybrid and electric vehicles in medium series productions",Europe,Spain,Barcelona,41.4715315,2.1352039,1.25,electric vehicle;lithium ion batteries;eic;ev battery production;bms;ev battery,energy;transportation,energy storage;maintenance,seed,European Innovation Council,government,Barcelona
