NAME,TAGLINE,HQ REGION,HQ COUNTRY,HQ CITY,LATITUDE,LONGITUDE,TOTAL FUNDING (EUR M),TAGS,INDUSTRIES,SUB INDUSTRIES,GROWTH STAGE,INVESTORS,EACH INVESTOR TYPES,Closest FUA,public and non-profit,investment entities,support programs,advisory and service provider
Zola Electric (formerly Off Grid Electric),"Powering off-grid homes across Africa with affordable, renewable energy",Europe,Netherlands,Amsterdam,52.3875664,4.8418842,143.64,startupamsterdam;sustainable development goals;off-grid;climate tech,energy,clean energy,late growth,Electranova Capital;Omidyar Network;Cercano Management (Formerly Vulcan);Zouk Capital;Helios Investment Partners;Aster Capital;GE Ventures;DBL Partners;Tesla Motors;TotalEnergies Carbon Neutrality Ventures;SunFunder;Électricité de France (EDF group);Eurazeo;TotalEnergies;Lyndon Rive;Peter Rive;FMO Entrepreneurial Development Bank;DBL Partners;Symbiotics Group;Unreasonable Group;Eurazeo Investment Manager,"investment entities;investment entities,investment entities,investment entities;investment entities,investment entities;advisory and service provider,investment entities;investment entities,investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities,investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities",Amsterdam,0,16,0,0
Zolar,Making buying solar power systems for homes easier and more transparent,Europe,Germany,Berlin,52.500657,13.421101,219,solar energy;sustainable development goals;climate tech;green buildings;urban tech,energy,energy providers;clean energy,late growth,Tim Schumacher;Partech;Heartcore Capital (Sunstone Capital);Statkraft Ventures;BayWa re Energy Ventures;Inven Capital;RSJ Investments SICAV a.s.;TS Ventures;Energy Impact Partners (EIP);EIT Climate-KIC;TS Ventures GmbH;Berliner Volksbank;Ecosia;GIC;Pirate Impact Capital;Sunstone Life Science Ventures;AENU,investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;support programs;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities,Berlin,0,16,1,0
Ostrom,Energy management platform that makes green electricity easy and affordable,Europe,Germany,Berlin,52.5294934,13.413028,13.7,sustainable development goals;climate tech,energy,clean energy,early growth,468 Capital;Alexander Kudlich;Philipp Klöckner;J12 Ventures;Global Founders Capital;Übermorgen Ventures;Eric Quidenus-Wahlforss;Jörg Kattner;Julian Weselek;Anton Rummel;Ferdinand Meyer;Stephan Haslebacher;Diana Zur Löwen;Union Square Ventures;Adjacent;Jörg Kattner,investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities,Berlin,0,16,0,0
SunRoof,Offers custom-engineered solar roofs with superior energy output and design,Europe,Sweden,Gothenburg,58.361704,12.332667,36.35,sustainable development goals;solar energy;industrial technology;construction tech;climate tech;green buildings;nordic rising star 2022;urban tech,energy;home living,energy providers;clean energy,late growth,Smok Ventures;LT Capital;EIT InnoEnergy;KnowledgHub;Inovo VC;Growth Capital;KnowledgeHub;PFR Ventures;Next Road Ventures;Alfabeat;Level2;Klima;Jon Olsson;Elite Skier;Oddo Private Equity;World Fund;Legal & General Capital;Nordic Alpha Partners,"investment entities;investment entities;investment entities;investment entities;investment entities;advisory and service provider;investment entities;investment entities,investment entities,investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities",Gothenburg,0,16,0,1
Apix Analytics,"APIX develops compact multigas analyzers by integrating analytical chains on silicon: sampling, injection, and separation of gas mixtures to enhance specificity and quantification of mixture compound",Europe,France,Grenoble,45.2047333,5.7018477,24.2,analytics;industrial technology;industrial analytics;industrial connectivity;energy tech;spinout,energy,energy efficiency;clean energy;oil & gas,early growth,Bpifrance;BNP Paribas;Kreaxi;Supernova Invest;Demeter Partners;Engie Rassembleurs d’Energies;Banque Populaire Occitane;ALIAD (Air Liquide);CEA Investissement;Ecotechnology Fund;Rhone-Alpes Creation;ENGIE New Ventures;CEA;Air Liquide;Vincent RUINET;European Innovation Council;EIC Fund (European Innovation Council Fund);BNP Paribas Développement,"investment entities;investment entities;investment entities;investment entities;investment entities,investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;public and non-profit;investment entities;investment entities",Grenoble,1,16,0,0
Tado,The intelligent climate control that uses your smartphone,Europe,Germany,Munich,48.1601506,11.5379995,196.75,smart home;smart building;techscale200;cooling tech;sustainable development goals;geopositioning;risk management;building cooling;climate tech;building energy efficiency;green buildings;saas and iot for heating;urban tech,energy,energy efficiency,late growth,Target Partners;Shortcut Ventures;Siemens Venture Capital;Statkraft Ventures;BayBG Bayerische Beteiligungsgesellschaft;Inven Capital;Next47;Amazon;TotalEnergies Carbon Neutrality Ventures;E.ON;Energy Innovation Capital;European Investment Bank;LMU Entrepreneurship Center;Future Energy Ventures;Noventic;EIT Climate-KIC;LBBW Venture Capital;Bayern Kapital;Swisscanto Invest;Trill Impact;Kiko Ventures;S2G Ventures,"investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities,investment entities;investment entities;investment entities;investment entities;investment entities;public and non-profit;support programs;investment entities,investment entities;investment entities;support programs;investment entities,investment entities;investment entities;investment entities;investment entities;investment entities;investment entities",Munich,1,16,2,0
Aerones,Robotic systems for a smarter wind turbine maintenace,Europe,Latvia,Riga,56.929998,24.19956772,50.2,wind energy;industrial technology;industrial robotics;climate tech;isensing & robotics;predictive maintenance;facility inspection and maintenance robots;sustainable development goals,energy;robotics,clean energy,late growth,Y Combinator;EIT InnoEnergy;Expansion Capital;Change Ventures;Paul Buchheit;Janis Krums;Sensum Group;Future Positive Capital;Plug and Play;Starter Business Acceleration;Jaan Tallinn;Mantas Mikuckas;James Berdigans;Capitalia;Pace Ventures;Ecosummit Ventures Management;Plug & Play Topeka;Haniel;Lightrock;Blume Equity;MetaPlanet;Jaan Tallinn Family office,"support programs;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;support programs;investment entities;investment entities;investment entities;advisory and service provider;investment entities;investment entities;support programs;investment entities;investment entities,investment entities;investment entities;investment entities;investment entities,investment entities",Riga,0,16,3,1
Norsepower,"Reduces the environmental impact of shipping by providing efficient, easy to use and reliable auxiliary wind propulsion for ships",Europe,Finland,Helsinki,60.164345,24.9183778,47.44,wind energy;sustainable development goals;marine;climate tech;nordic rising star 2022;novel energy;other categories novel energy;blue economy;marine transportation;bluetech,energy,clean energy,early growth,European Innovation Council;VNT Management;Korkia;Finnvera Venture Capital;OGCI Climate Investments;Business Finland;European Commission;Tesi;EAKR Aloitusfund;Valve Ventures;Lifeline Ventures;Wate Oy;Tuomas Riski;Jarkko Vainamo;Hopaltans Oy;Alain-Cabriel Courtines;Megumi Ikeda;John Riccitiello;The Finnish Climate Fund;Mirova;Nefco (Nordic Environment Finance Corporation),"public and non-profit;investment entities;investment entities;investment entities;investment entities,investment entities;public and non-profit;public and non-profit;investment entities,investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities,investment entities",Helsinki,3,15,0,0
Woola,Using waste wool to replace plastic bubble wrap,Europe,Estonia,Tallinn,59.4369608,24.7535746,3.4,sustainable development goals;climate tech,fashion;energy,accessories;waste solution,early growth,Martin Tajur;Martin Villig;Kair Käsper;Lemonade Stand;Karina Univer;Ragnar Sass;EIT Climate-KIC;Future Ventures;Kaarel Kotkas;Janer Gorohhov;Kristina Lilleõis;Zem Joaquin;Bryan Meehan;Lemonade Stand;Bolt,investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;support programs;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities,Tallinn,0,14,1,0
LiveEO,LiveEO uses satellite data and machine learning algorithms to monitor infrastructure networks for external threats and forecast repercussions. The service detects changes to forecast dangers,Europe,Germany,Berlin,52.4986227,13.4004547,26.09,satellite imagery;berlin startup scholarship;space tech;sustainable development goals;esa bass;space tech to energy;climate tech;space downstream;esa;esa sme,energy;space,oil & gas,late growth,EXIST;Dieter von Holtzbrinck Ventures;Andreas Kupke;b2venture (formerly btov Partners);Helen Ventures;Motu Ventures;Sap.io;Centre for Entrepreneurship TU Berlin;Science & Startups;High-Tech SeedLab;Plug and Play;Crossventures;Technical University Berlin;PARSEC Accelerator;Plug & Play Topeka;European Innovation Council;MMC Ventures;European Investment Bank;Matterwave Ventures;Segenia;Hannover Digital Investments;IBB;EUSPA;CASSINI Business Accelerator,investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;support programs;support programs;public and non-profit;support programs;investment entities;investment entities;public and non-profit;support programs;support programs;public and non-profit;investment entities;public and non-profit;investment entities;investment entities;investment entities;investment entities;public and non-profit;support programs,Berlin,5,13,6,0
Infinited Fiber Company,Enables manufacturing new natural fibers for the fashion industry needs both from textile waste and biomaterials like wood economically and ecologically,Europe,Finland,Helsinki,60.16006625,24.6740588,44,sustainable development goals;industrial technology;advanced materials;climate tech;spinout;nordic rising star 2022;top 50 nordic rising star 2022 finland;circular economy,fashion;energy,waste solution,late growth,Fortum;European Innovation Council;RGE;Valve Ventures;Fashion For Good;H&M CO:LAB;Bestseller;Adidas;Security Trading Oy;H&M;Nidoco group;Sateri;Zalando;VTT Technical Research Centre of Finland;Business Finland;Voima Ventures,investment entities;public and non-profit;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;public and non-profit;public and non-profit;investment entities,Helsinki,3,13,0,0
EkWateur,Provides an innovative and truly seamless customer experience in a collaborative environment,Europe,France,Paris,48.8753655,2.3405004,45.94,vivatech2019;sustainable development goals;oil & gas;retail;climate tech;b corp,energy,clean energy;energy providers,late growth,Lumo France;Aster Capital;BNP Paribas;Bouygues Telecom Initiatives;Sowefund;Aster;BNP Paribas Développement;Mantu;Mirai Venture;Smartangels;Bouygues Developpement;Vincent Guiheneuc;Greentech Verte;Quantum Pacific Capital;Aster;Aonia Ventures,"investment entities;investment entities;investment entities;investment entities;public and non-profit;investment entities;investment entities;investment entities;investment entities;public and non-profit;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities,investment entities",Paris,2,13,0,0
Woltair,An innovative startup company focused on heat pumps and photovoltaics,Europe,Czech Republic,Prague,50.0560959,14.2798713,17.29,heat pump;solar energy;sustainable development goals;climate tech;residential solar;solar installation;urban tech;green buildings,energy,clean energy,late growth,KAYA VC (f.k.a. Enern);Inven Capital;Presto Ventures;Movens Capital;Enern;Tomáš Krsek;Petr Smida;Radovan Nesrsta;Pavel Mucha;The Westly Group;ArcTern Ventures;Aternos;Carbon Equity,investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities,Prague,0,13,0,0
NaturVention,"Developer of Freshwalls, an air purification technology based on indoor plants",Europe,Finland,Jyvaskyla,62.2326616,25.7686454,8.05,organic;health &amp; wellness;plant-based,wellness beauty;energy,clean energy;energy efficiency,late growth,Butterfly Ventures;European Innovation Council;Delos;Halton;Jasper Pääkkönen;Leena Niemistö;Jaakko Ollila;Hannu Turunen;Finnish Innovation Fund - Sitra;Oy Hammaren & Co Ab;Guida Invest Oy;Metsola Ventures;Roland Mossig;Inventure,investment entities;public and non-profit;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities,Tampere,1,13,0,0
Wallbox,Wallbox creates smart charging and energy management solutions to advance electric vehicle adoption and sustainable energy use,Europe,Spain,Barcelona,41.3558943,2.1412212,196.86,ev charging hardware;ev charging software;sustainable development goals;verified unicorns and $1b exits;spac ipo closed;ev charging;climate tech;electric mobility;energy management system,energy;transportation,energy efficiency;mobility,late growth,Iberdrola;Seaya;Endeavor Catalyst;Cathay Innovation;WIND Ventures;Cathay Capital;Plug and Play;Kensington Capital Acquisition Corp II;Kensington Capital Partners;Janus Henderson Investors;Luxor Capital;Endeavor;Desafia;BBVA,"investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities,investment entities;investment entities;investment entities;investment entities;support programs;investment entities",Barcelona,0,12,1,0
Alcemy,Building a predictive quality control AI which will enable production of low-carbon green concrete at scale,Europe,Germany,Berlin,52.5311839,13.4055086,10,urban tech;industrial technology;industrial analytics;sustainable development goals;carbon capture and storage;sustainable cement;climate tech;green buildings,real estate;energy,construction,early growth,La Famiglia;Entrepreneur First;LocalGlobe;firstminute capital;EIT Climate-KIC;firstminute;Angel Invest;Galvanize Climate Solutions;AENU;BitStone Capital;Momeni Digital Ventures;Tobias Nendel;E.R. Capital Holdings,investment entities;investment entities;investment entities;investment entities;support programs;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities,Berlin,0,12,1,0
Thermondo,Promotes the energy transition with innovative heat solutions,Europe,Germany,Berlin,52.5359598,13.3976529,52.99,solar energy;sustainable development goals;climate tech,energy,energy efficiency;clean energy,late growth,IBB Ventures;HV Capital;E.ON;Grey Corp GmbH;Global Founders Capital;Eneco;Vorwerk Ventures;IBB;Picus Capital;Brookfield;Redstone;Eneco Ventures;Future Energy Ventures;Volksbank;EIT Climate-KIC,"investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities,investment entities;investment entities;investment entities;investment entities,investment entities;investment entities;support programs",Berlin,0,12,1,0
E-peas,A fabless semiconductor company aiming at developing ultra-low-power high performances circuits,Europe,Belgium,Brussels,50.6578355,4.626033,14.32,battery;sustainable development goals;harvesting;other categories novel energy;novel energy;semiconductor designers and manufacturers;chips;sensors;image sensors;chips and processors;fabless;low-power,energy;semiconductors,clean energy;energy efficiency,early growth,Airbus Ventures;Partech;Semtech;JCDecaux;Vives Louvain Technology Fund;SRIW;Eurostars SME programme;KBC Securities;W.IN.G;Noshaq;LeanSquare;Nivelinvest;KBC Focus Fund;European Innovation Council;EIC Fund (European Innovation Council Fund);Invest.BW,"investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;public and non-profit;investment entities;investment entities;investment entities,investment entities;support programs;investment entities;investment entities;public and non-profit;investment entities;investment entities",Brussels,2,12,1,0
HySiLabs,"HySiLabs developed a new liquid carrier to transfer hydrogen, HydroSil. HySiLabs' breakthrough idea tackles safety, legislation, and supply chain challenges to reduce hydrogen deployment hurdles",Europe,France,Marseille,43.4909347,5.3317781,18.24,vivatech2019;hydrogen;sustainable development goals;eicfund;climate tech;novel energy;hydrogen novel energy,energy;transportation,clean energy,early growth,European Innovation Council;Région Sud Investissement;Bpifrance;EIT InnoEnergy;Turenne Capital;Rhone-Alpes Creation;EIT Climate-KIC;Greentech Verte;Paca Investissement;EIC Fund (European Innovation Council Fund);Kreaxi;Equinor Ventures;CAAP Creation;EDP Ventures;PLD Automobile,"public and non-profit;investment entities;investment entities;investment entities;investment entities;investment entities;support programs;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities,investment entities;investment entities",Marseille,1,12,1,0
Microphyt,Develops unique solutions to industrialize the production of biomass of species of microalgae of economic interest,Europe,France,Montpellier,43.6486263,4.0293513,46.48,blue economy;biotechnology;biotech and pharma;algae;nutrition;sustainable development goals;primary production;alternative protein;enabler of alternative proteins;natural resources;farming;aquaculture;bluetech,health;energy,biotechnology,late growth,European Innovation Council;Augusto Parodi;Eurostars SME programme;Demeter Partners;Sofinnova Ventures;Bpifrance;iXO Private Equity;Sofilaro Capital;Supernova Invest;Irdi Soridec Gestion;Sofinnova Partners;Sofimac Innovation;Plug and Play;Plug & Play Topeka;L'Oreal;IRDI Midi Pyrenees;Sofimac Partners;Demeter;European Innovation Council and SMEs Executive Agency (EISMEA),"public and non-profit;investment entities;public and non-profit;investment entities,investment entities;investment entities;investment entities;investment entities,investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;support programs;investment entities;investment entities,investment entities;investment entities;investment entities;public and non-profit",Montpellier,3,12,1,0
Lhyfe,"Developer, investor, and supplier of 100% green hydrogen for mobility and industry",Europe,France,Nantes,47.231045,-1.5636996,77,hydrogen;sustainable development goals;climate tech;novel energy;hydrogen novel energy,energy;transportation,logistics & delivery;clean energy,late growth,Noria Invest;Swen Capital Partners;Banque des Territoires;Ovive;Ouest Croissance;Océan Participations;Andera Partners;Société Financière Lorient Développementis;Andera Partners;Mitsui & Co;EDPR;Caisse des Dépôts et Consignations;Amundsen Investment Management,"investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities,investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities",Nantes,0,12,0,0
