NAME,TAGLINE,HQ REGION,HQ COUNTRY,HQ CITY kész,LATITUDE,LONGITUDE,TOTAL FUNDING (EUR M) kész,TAGS,INDUSTRIES,SUB INDUSTRIES,GROWTH STAGE,INVESTORS,EACH INVESTOR TYPES,Closest FUA
Hyper Poland,"Developing a technology that enables a quick, phased implementation of hyperloop-inspired transportation technology within railways’ systems",Europe,Poland,Warsaw,52.2497877,21.0651067,5.46,crowdfunding;vivatech2019;research and development;sustainable development goals;sustainable cities and communities (#11);climate action (#13);core sustainable impact,energy,clean energy,early growth stage,National Center for Research & Development of Poland;Seedrs;Hutter Private Equity,venture_capital;crowdfunding;private_equity,Warsaw
Exeger Sweden,"A Swedish deep tech company inspired by nature, because nature is the most technologically advanced ecosystem",Europe,Sweden,Stockholm,59.3515142,18.0711757,40.53,solar energy;sustainable development goals;affordable and clean energy (#7);climate action (#13);nordic impact 2021,energy,clean energy,late growth stage,Forum;EUREKA Network Projects;3TInvest;SoftBank;Swedbank;AB Svensk Exportkredit;Ilija Batljan,venture_capital;non-profit;venture_capital;corporate;corporate;venture_capital;angel,Stockholm
Azelio,Renewable power when and where it is needed through a unique thermal storage with dispatchable electricity production,Europe,Sweden,Gothenburg,59.039752,12.686599,16.77,sustainable development goals;core sustainable impact;affordable and clean energy (#7);climate action (#13);nordic impact 2021,energy,energy storage,late growth stage,European Innovation Council,government,Gothenburg
Minesto,The only known technology for cost efficient renewable electricity production from low velocity tidal and ocean currents,Europe,Sweden,Gothenburg,57.6858917,11.8854953,4.14,hydropower;sustainable development goals;affordable and clean energy (#7);core sustainable impact;clean water and sanitation (#6);climate action (#13);marine energy;nordic impact 2021,energy,clean energy,late growth stage,EIT InnoEnergy;Eurostars SME programme;European Innovation Council;BGA Invest;Swedish Energy Agency,accelerator;government;government;venture_capital;corporate,Gothenburg
Wastehero,A leading end-to-end smart waste collection solution provider,Europe,Denmark,Aarhus,56.1586902,10.2155391,1.07,sensor;sustainable development goals;industrial connectivity;industrial technology;nordic impact 2021;industrial analytics,energy,waste solution,early growth stage,Incuba Venture;Anorak Ventures;Mana Ventures,venture_capital;venture_capital;venture_capital,Aarhus
Bintel AB,The future of Waste Management with LoRaWAN,Europe,Sweden,Malmo,55.7168461,13.2250751,2.68,sustainable development goals;core sustainable impact;affordable and clean energy (#7);climate action (#13);nordic impact 2021,energy,waste solution,early growth stage,Almi Invest;Ideon Science Park;Ideon Innovation;I Love Lund;Gramtec Co-Invest;Philip Abdon;Erik Urnes,venture_capital;accelerator;accelerator;venture_capital;corporate;angel;angel,Malmo
WeSustain,WeSustain develops and sells web-based software for enterprise sustainability management,Europe,Germany,Heidelberg,49.2949829,8.6490361,4.0,sustainable development goals,energy,energy efficiency,seed stage,VNT Management;High-Tech Gründerfonds;Cority,venture_capital;venture_capital;corporate,Heidelberg
SunRoof,Offers custom-engineered solar roofs with superior energy output and design,Europe,Sweden,Stockholm,59.3091213,18.2539634,6.5,sustainable development goals;solar energy;nordic impact 2021,energy,energy providers,late growth stage,Smok Ventures;LT Capital;EIT InnoEnergy;Knowledgehub;KnowledgHub;Inovo Venture Partners;Growth Capital;KnowledgeHub,venture_capital;venture_capital;accelerator;corporate;venture_capital;venture_capital;advisor;venture_capital,Stockholm
Virta,"Provide leading-edge smart charging services for EV drivers and companies alike with a vision of a clean, carbon-free future with silent EVs driving emission-free down the street",Europe,Finland,Helsinki,60.165832,24.90386,30.0,electric vehicle;sustainable development goals;ev charging operations and monitoring;smart charging;nordic impact 2021,energy,energy efficiency,late growth stage,JXTG Nippon Oil & Energy;E.ON;Helen Ventures;Future Energy Ventures;Jolt Capital;Vertex Growth Fund;Tesi;ENEOS Holdings,"corporate;corporate;corporate_venture_fund;corporate_venture_fund,venture_capital;venture_capital;venture_capital;private_equity,venture_capital;corporate",Helsinki
Sweetch Energy,Developing a breakthrough technology in the field of salinity gradient power harvesting,Europe,France,Lorient,47.7326809,-3.3742671,10.41,sustainable development goals,energy,water,seed stage,GO Capital;Emertec Gestion;Horizon 2020 FET (Future and Emerging Technologies);Demeter Partners;Future Positive Capital;Go Capital,"venture_capital;venture_capital;venture_capital;private_equity,venture_capital;investment fund;venture_capital",Rennes
Triple Solar,Designer and manufacturer of solar panels in combination with a heat pump,Europe,Netherlands,Amsterdam,52.4118391,4.8781575,1.2,heating;solar energy,energy,clean energy,early growth stage,Erik Schut;Ruud Rijbroek;DOEN Participaties;PDENH;DutchBasecamp;Enfuro Ventures;Rabobank,angel;angel;venture_capital;venture_capital;non-profit;venture_capital;corporate,Amsterdam
Gana Energía,Offering a real alternative to the oligopoly of the large electricity companies in Spain by offering fair and accessible rates,Europe,Spain,Valencia,39.4675712,-0.3907836,1.45,solar energy;wind energy;sustainable development goals,energy,energy providers,early growth stage,Bewater Funds;Angels Capital;Repsol ,venture_capital;venture_capital;corporate,Valencia
X Shore,"X Shore is the evolution of an industry that has remained steadfast in its traditions, for better or for worse",Europe,Sweden,Stockholm,59.3409677,18.1186756,21.52,service industry;boat;electric vehicle;industry innovation and infrastructure (#9);climate action (#13);life below water (#14);sustainable development goals,energy,vehicle production,early growth stage,Peter Dahlberg;Team Europe;Navin Thukkaram;Marec Gasiun;Lukasz Gadowski;Wellstreet,angel;venture_capital;angel;angel;angel;accelerator,Stockholm
BladeInsight,Tailored solutions for wind turbine blade O&M,Europe,Portugal,Lisbon,38.741322,-9.30234,1.98,drones;infrastructure services;wind energy;sustainable development goals;core sustainable impact;affordable and clean energy (#7);industry innovation and infrastructure (#9);industrial drones;industrial technology;industrial robotics,energy,,early growth stage,European Innovation Council;EIT InnoEnergy;Katapult Accelerator;EDP Ventures;Betwixt Ventures,"government;accelerator;accelerator;corporate_venture_fund,venture_capital;venture_capital",Lisbon
Monta,Monta is a platform for EV owners to charge seamlessly both at home and when away. Monta GreenCharge forecasts the availability of renewable energy and manages your charging to reduce CO2 emission,Europe,Denmark,Copenhagen,55.6760968,12.5683371,4.97,charging technology;ev charging software;sustainable development goals,energy,energy efficiency,early growth stage,Pale Blue Dot;ByFounders;VF Venture (Vækstfonden);Jeppe Rindom,venture_capital;venture_capital;venture_capital;user,Copenhagen
Tiamat Energy,"A start-up that designs, develops, and produces innovative solutions for energy storage applications",Europe,France,Amiens,49.8995185,2.2991932,5.25,storage;battery;sustainable development goals;core sustainable impact;climate action (#13);affordable and clean energy (#7),energy,energy storage,seed stage,Finovam;Picardie Investissement;Bpifrance;European Innovation Council,venture_capital;venture_capital;venture_capital;government,Lille
See You Sun,"See You Sun covers the roofs with solar panels, whose energy is used to supply electricity to charging stations for vehicles parked nearby",Europe,France,Rennes,48.117266,-1.6777926,12.0,solar energy;ev charging infrastructure;sustainable development goals,energy,clean energy,seed stage,Banque des Territoires;Demeter Partners,"investment fund;private_equity,venture_capital",Rennes
Sensorfact,Smart energy savings in the manufacturing industry,Europe,Netherlands,Utrecht,52.0843937,5.1157928,5.76,industry 4.0;sensor;energy tech;industrial technology;sustainable development goals,energy,energy efficiency,late growth stage,Engie Rassembleurs d’Energies;UtrechtInc;EIT InnoEnergy;FORWARD.one Venture Capital;Engie;Korys,venture_capital;accelerator;accelerator;venture_capital;corporate;family_office,Utrecht
Sympower,Sympower unlocks revenue streams by maximizing the value of flexibility across energy markets and industries,Europe,Netherlands,Amsterdam,52.3708121,4.8832089,9.19,appliances;startupamsterdam;smart grid;sustainable development goals;electrical distribution;energy tech;industrial technology,energy,energy efficiency,early growth stage,Rockstart;Rubio Impact Ventures;PDENH;Kees Koolen;Enfuro Ventures;Casper Peeters,venture_capital;venture_capital;venture_capital;angel;venture_capital;angel,Amsterdam
SolarworX,"Developing second generation, highly innovative off-grid products like modular Solar Home and Business Systems and distribute them via local partners",Europe,Germany,Berlin,52.5391864,13.4222413,1.9,off-grid;solar energy;sustainable development goals,energy,clean energy,seed stage,EIT InnoEnergy;Canadian Solar;German Investment Corporation (DEG),accelerator;corporate;investment fund,Berlin
Nuventura,Pioneers in the design and development of clean power grid technology to minimize the use of greenhouse gases in the global energy supply,Europe,Germany,Berlin,52.5377866,13.424177,2.75,sustainable development goals;urban tech;smart grid;climate action (#13),energy,energy efficiency,early growth stage,European Innovation Council;EIT Climate-KIC;IBB Ventures;APEX Ventures;E.ON;Future Energy Ventures;DOEN Participaties;Cycle Group;APEX Energy,"government;accelerator;venture_capital;venture_capital;corporate;corporate_venture_fund,venture_capital;venture_capital;venture_capital;investment fund",Berlin
Skeleton Technologies,Developer and manufacturer of high energy and power density ultracapacitators,Europe,Estonia,Tallinn,59.4198544,24.8036836,142.78,energy efficiency;storage;information technology;power;automotive;aviation & aerospace;battery;fuel;sustainable development goals;ev battery other chemistry,energy,energy storage,late growth stage,EIT InnoEnergy;Firstfloor Capital;Harju Elekter Group;European Investment Bank;European Innovation Council;UP Invest;Federal Ministry for Economic Affairs and Energy;Free State of Saxony,accelerator;venture_capital;corporate;government & non-profit;government;venture_capital;government;government,Tallinn
Altris,Swedish company who has discovered a new way to produce a sodium based cathode material using only renewable materials,Europe,Sweden,Uppsala,59.8550469,17.6501906,1.91,lithium ion batteries;battery;affordable and clean energy (#7);sustainable development goals;nordic impact 2021,energy,energy storage,seed stage,EIT InnoEnergy;Molindo,accelerator;corporate,Uppsala
Home power solutions,HPS develops and produces integrated systems for storing and using solar energy for single and multi-family homes,Europe,Germany,Berlin,52.429876,13.524288,15.4,sustainable development goals;core sustainable impact;urban tech;affordable and clean energy (#7);climate action (#13),energy,energy storage,late growth stage,EIT InnoEnergy,accelerator,Berlin
Ideol,Manufactures foundations for the offshore wind industry,Europe,France,Marseille,43.209178,5.5985,49.28,wind energy;sustainable development goals;affordable and clean energy (#7);core sustainable impact;climate action (#13),energy,clean energy,late growth stage,Région Sud Investissement;Tertium;Sofimac Régions;Kerogen Capital;Undi Private Equity;BNP Paribas;Caisse d'Epargne;Demeter Partners;Soridec;Conseil Plus Gestion;Amundi Private Equity Funds;European Innovation Council;Sofimac Innovation,"venture_capital;venture_capital;venture_capital;private_equity,venture_capital;private_equity,venture_capital;corporate;corporate;private_equity,venture_capital;venture_capital;private_equity,venture_capital;private_equity,venture_capital;government;venture_capital",Marseille
E-magy,E-magy is a designer and manufacturer of “nano-sponge” silicon material for advanced lithium-ion batteries,Europe,Netherlands,Alkmaar,52.6774992,4.7917704,5.0,lithium ion batteries;sustainable development goals,energy,energy storage,early growth stage,SHIFT Invest;PDENH,venture_capital;venture_capital,Amsterdam
NexWafe,Pioneering epitaxial production of low-carbon ultra-thin highly-efficient silicon wafers for photovoltaics,Europe,Germany,Freiburg im Breisgau,48.0311171,7.8585482,26.0,solar energy;sustainable development goals;core sustainable impact;affordable and clean energy (#7);climate action (#13),energy,clean energy,early growth stage,Lynwood;Fraunhofer Venture;Saudi Aramco Energy Ventures;Green Gateway Fund;GAP Technology Holding;Bantina Invest,venture_capital;venture_capital;corporate_venture_fund;venture_capital;corporate;investment fund,Freiburg
Wallbox,Wallbox creates smart charging and energy management solutions to advance electric vehicle adoption and sustainable energy use,Europe,Spain,Barcelona,41.3558943,2.1412212,60.5,electric vehicle;ev charging hardware;ev charging software;sustainable development goals;energy tech,energy,energy efficiency,late growth stage,Iberdrola;Seaya Ventures;Endeavor Catalyst;Cathay Innovation;WIND Ventures;Cathay Capital;Plug and Play Insurtech;Bob Rode;Plug and Play;Plug and Play Retailtech,corporate;venture_capital;venture_capital;venture_capital;venture_capital;private_equity;accelerator;angel;accelerator;accelerator,Barcelona
Everfuel,"Hydrogen fueling convenient, compact and competitive",Europe,Denmark,Aulum,56.314794,8.823018,12.05,hydrogen;core sustainable impact;sustainable development goals;affordable and clean energy (#7);climate action (#13);nordic impact 2021,energy,clean energy,early growth stage,European Investment Bank;Saga Pure,government & non-profit;investment fund,Aarhus
Vortex Bladeless Wind Power,A tech startup developing an environmentally friendly aerogenerator which needs no blades,Europe,Spain,Madrid,40.50495,-3.88948,1.33,wind energy;sustainable development goals;core sustainable impact;affordable and clean energy (#7);climate action (#13),energy,clean energy,early growth stage,European Innovation Council;Equinor;Techstars,government;corporate;accelerator,Madrid
Clever,CLEVER is the leading electric mobility service provider in Scandinavia,Europe,Denmark,Copenhagen,55.6487956,12.5511715,33.33,electric vehicle;ev charging;sustainable development goals;nordic impact 2021,energy,mobility,late growth stage,,,Copenhagen
Modvion,Develops modular wind power towers in composite materials,Europe,Sweden,Gothenburg,57.6996569,11.9481801,6.6,composite materials;wind energy;sustainable development goals;affordable and clean energy (#7);core sustainable impact;climate action (#13);industry innovation and infrastructure (#9);nordic impact 2021,energy,clean energy,early growth stage,MassChallenge;European Innovation Council;Vestas Ventures;Chalmers Ventures,venture_capital;government;corporate_venture_fund;venture_capital,Gothenburg
Volta Trucks,Creating an all electric truck specifically to be used in and around cities and urban areas,Europe,Sweden,Stockholm,59.6147531,17.6988537,20.18,automotive;electric vehicle;core sustainable impact;sustainable development goals;sustainable cities and communities (#11);climate action (#13);nordic impact 2021,energy,vehicle production,early growth stage,Luxor Capital;Byggmästare Anders J Ahlström,venture_capital;corporate,Uppsala
Helbio,Develops and markets hydrogen fuel processors for energy applications,Europe,Greece,Patras,38.29738,21.811852,4.17,biofuel;hydrogen;sustainable development goals;core sustainable impact;affordable and clean energy (#7);climate action (#13),energy,oil & gas,early growth stage,Eurostars SME programme;Mantacore AB;European Innovation Council,government;corporate;government,Athens
Ubitricity,"Developing, producing, and operating charge points for electric vehicles",Europe,Germany,Berlin,52.4815672,13.3567367,21.8,charging technology;electric vehicle;urban tech;sustainable development goals;clean energy;environmental engineering;ev charging infrastructure;ev charging hardware,energy,maintenance,late growth stage,Siemens;Next47;EDF;Honda Motor Co Ltd;IBB Ventures;Earlybird Venture Capital;Royal Dutch Shell,"corporate;corporate_venture_fund,venture_capital;corporate;corporate;venture_capital;venture_capital;corporate",Berlin
Mainstream Renewable Power,Constructs and operates wind and solar PV projects in high-growth emerging markets,Europe,Ireland,Dublin,53.3498053,-6.2603097,120.0,solar energy;sustainable development goals;core sustainable impact;wind energy;affordable and clean energy (#7);climate action (#13),energy,energy providers,late growth stage,Barclays;Marubeni Corporation;HSBC;DNB;Aker Horizons,corporate;corporate;corporate;corporate;corporate,Dublin
Skyqraft,AI startup focusing on airborne data collection for infrastructure inspection,Europe,Sweden,Stockholm,59.336257,18.0700289,2.61,autonomous vehicles;drones;consumer electronics;inspection;sustainable development goals;core sustainable impact;industry innovation and infrastructure (#9);nordic impact 2021,energy,,seed stage,Antler;Subvenio Invest;Next Human Ventures,venture_capital;venture_capital;venture_capital,Stockholm
Boreal Light GmbH,Young Berlin based company specialized on renewable energy solution for water treatment facilities,Europe,Germany,Berlin,52.3967773,13.3767088,6.82,berlin startup scholarship;sustainable development goals;wastewater treatment;desalination;off-grid;core sustainable impact;affordable and clean energy (#7),energy,clean energy,seed stage,Rainmaking;EIT Food,venture_capital;government,Berlin
Qotto,Providing solar-powered energy solutions in West Africa,Europe,France,Paris,48.8855953,2.2592925,2.0,vivatech2019;solar energy,energy,,early growth stage,Sowefund;Smartangels,crowdfunding;crowdfunding,Paris
Heliatek,"Develops, produces and distributes industrial-grade organic PV solar solutions for virtually any building surface",Europe,Germany,Dresden,51.078683,13.694584,117.55,organic;solar energy;sustainable development goals;core sustainable impact;smart building;affordable and clean energy (#7);climate action (#13),energy,clean energy,late growth stage,GP Bullhound;Technologiegründerfonds Sachsen;Wellington Partners;High-Tech Gründerfonds;BASF Venture Capital GmbH;ECAPITAL;BNP Paribas;Engie Rassembleurs d’Energies;Innogy Ventures;CEE Group;Aqton;European Investment Bank;Tudag;BASF;Innogy Innovation Hub;Innogy Venture Capital;ENGIE New Ventures;Future Energy Ventures;Bosch;Robert Bosch Venture Capital,"venture_capital;venture_capital;venture_capital;venture_capital;corporate_venture_fund;venture_capital;corporate;venture_capital;corporate_venture_fund;venture_capital;venture_capital;government & non-profit;venture_capital;corporate;accelerator;corporate_venture_fund;corporate_venture_fund;corporate_venture_fund,venture_capital;corporate;corporate_venture_fund",Dresden
Magnax,Delivers the highest efficiency and extreme power densities for ground e-mobility applications,Europe,Belgium,Kortrijk,50.822645,3.309542,16.5,automotive;electric vehicle;sustainable development goals,energy,maintenance,early growth stage,European Innovation Council;Plug and Play Retailtech;Bob Rode;Plug and Play Insurtech;Plug and Play,government;accelerator;angel;accelerator;accelerator,Lille
Zencar,Brussels-based carsharing service delivered through a 100% electric vehicle fleet and numerous charging stations,Europe,Belgium,Brussels,50.8154234,4.371465,1.9,sharing economy;sharing;electric;car;car rental;car sharing;renting;vehicle;electric vehicle;sustainable development goals;responsible consumption and production (#12);sustainable cities and communities (#11);climate action (#13),energy,logistics & delivery,seed stage,Spreds;Inventures Investment Partners;MOOVEE MOBILITY,crowdfunding;venture_capital;corporate,Brussels
X1 Wind,"X1 Wind is developing a disruptive floating wind platform, which significantly reduces the weight and costs, through it’s weathervaning downwind design and single point mooring system (PivotBuoy®)",Europe,Spain,Barcelona,41.3850639,2.1734035,8.22,wind energy;sustainable development goals;core sustainable impact;affordable and clean energy (#7);climate action (#13),energy,clean energy,early growth stage,European Innovation Council;EIT InnoEnergy;European Commission,government;accelerator;investment fund,Barcelona
WOODOO,Woodoo rebuilds wood at the molecular level to make it the most performative material by using patented process to replace wood’s lignin with a unique bio-polymer,Europe,France,Paris,48.8455086,2.3400859,11.13,biotechnology;forestry;vivatech2019;wood;sustainable development goals;core sustainable impact;industry innovation and infrastructure (#9);responsible consumption and production (#12);advanced materials;industrial technology,energy,,early growth stage,European Innovation Council,government,Paris
Creapaper,"Creapaper introduces a highly innovative, sustainable and cost-efficient grassfibre alternative material for the paper industry",Europe,Germany,Bonn,50.7843729,7.2682212,9.39,paper;fiber;innovation management;circular economy;sustainable development goals;industrial technology;advanced materials,energy,waste solution,early growth stage,ECAPITAL;European Innovation Council;ECapital,venture_capital;government;venture_capital,Bonn
Orbital Systems,A Swedish clean-tech company that develops a water recycling technology to be used in domestic appliances,Europe,Sweden,Malmo,55.6125901,13.0034638,52.95,appliances;information technology;social;communication;navigation;saas;platform;recycling;waste reduction;sustainability;home improvement;system engineering;sustainable development goals;core sustainable impact;affordable and clean energy (#7);clean water and sanitation (#6);climate action (#13);responsible consumption and production (#12);nordic impact 2021,energy,water,late growth stage,Niklas Zennström;Dendera Venture;Swedish Energy Agency;Minc;Johan Persson;Nils Idoff;Stena Ventures;af Jochnick Foundation;Sandberg Development;European Investment Bank;Peter Carlsson;Vinnova;Investment AB Öresund;Formica Ventures;NREP,angel;venture_capital;corporate;accelerator;angel;angel;venture_capital;venture_capital;corporate;government & non-profit;angel;venture_capital;venture_capital;venture_capital;corporate,Malmo
Sono Motors,"Developing and building a forward-looking electric car that is suitable for daily use, with integrated solar cells and innovative mobility services",Europe,Germany,Munich,48.2016401,11.5475845,107.9,automotive;electric vehicle;battery;sustainable development goals;solar energy;affordable and clean energy (#7);sustainable cities and communities (#11);climate action (#13);core sustainable impact,energy,energy storage,late growth stage,Seedrs;ELFH Holding;Wi Venture;Swedbank;DNCA Finance,crowdfunding;family_office;venture_capital;corporate;company,Munich
EVBox,"Integrated charging solutions and related cloud services, with over 150,000 charging points around the world",Europe,Netherlands,Amsterdam,52.3702157,4.8951679,204.56,mobility;automotive;lead generation;charging technology;sustainable development goals;ev charging hardware;ev charging software;spac target;spac ipo announced,energy,mobility,late growth stage,Engie Rassembleurs d’Energies;New York State’s Empire State Development;ACRE;Gilde Equity Management;TPG Pace Beneficial Finance Corp.;BlackRock;Inclusive Capital Partners;Neuberger Berman Group;Wellington Management,"venture_capital;venture_capital;venture_capital;private_equity,venture_capital;corporate;private_equity;investment fund;private_equity;private_equity,venture_capital",Amsterdam
GreenCom Networks AG,"We turn the energy industry into a distributed, digital, customer- and service-oriented world. Our energy IoT platform enables new energy business models for utilities, ESCOs and OEMs",Europe,Germany,Munich,48.120992,11.60295,12.0,sustainable development goals;industrial technology;energy tech;industrial connectivity,energy,clean energy,early growth stage,Cosmos Group;Munich Venture Partners;SET Ventures;Future Energy Ventures;Shell Ventures; Energy and Environment Investment;Centrica Innovations;Macdoch Ventures,"corporate;venture_capital;venture_capital;corporate_venture_fund,venture_capital;corporate_venture_fund;venture_capital;corporate_venture_fund;family_office,venture_capital",Munich
Lancey,"Developing solutions that democratize energy storage and promote the self-consumption of buildings, while fighting against energy poverty",Europe,France,Grenoble,45.1910139,5.7042011,11.81,core sustainable impact;water heating;sustainable development goals;affordable and clean energy (#7);climate action (#13),energy,energy storage,early growth stage,E.ON :agile accelerator;European Innovation Council;ENGIE New Ventures,accelerator;government;corporate_venture_fund,Grenoble
Nabrawind Technologies,Advanced wind technologies for wind turbine components,Europe,Spain,Pamplona,42.8148941,-1.640727,3.93,sustainable development goals;core sustainable impact;eic;wind energy;affordable and clean energy (#7);climate action (#13),energy,clean energy,early growth stage,Sodena;EIT InnoEnergy;European Innovation Council,venture_capital;accelerator;government,Bilbao
Seaborg Technologies,"A start-up on the forefront of advanced and innovative nuclear reactor technology working to provide abundant, affordable and sustainable energy",Europe,Denmark,Copenhagen,55.7043879,12.553435,20.3,nuclear fission;sustainable development goals;core sustainable impact;climate action (#13);affordable and clean energy (#7);nordic impact 2021,energy,clean energy,early growth stage,Eurostars SME programme;INDEX: Design to Improve Life;David Helgason;Lars Fløe Nielsen;Mette Fløe Nielsen;Anders Holch Povlsen;Pre seed innovation;Peter Holm,government;service provider;angel;angel;angel;angel;venture_capital;angel,Copenhagen
Amarenco,"Independent power company that invests in, builds and operates Renewable Energy powerplants",Europe,Ireland,Cork,51.8949849,-8.4654024,170.3,solar energy;sustainable development goals;core sustainable impact;affordable and clean energy (#7);climate action (#13),energy,energy providers,late growth stage,Eiffel Investment Group;IDIA Capital Investissement;Sofilaro Capital;Tikehau Capital,"venture_capital;private_equity,venture_capital;venture_capital;private_equity",Cork
Teraloop,Teraloop is an innovative grid-scale energy storage system that can provide a future alternative to batteries by balancing the natural supply and demand variation of energy,Europe,Finland,Helsinki,60.1876265,24.8095796,2.62,sustainable development goals;core sustainable impact;affordable and clean energy (#7);climate action (#13);sustainable cities and communities (#11);responsible consumption and production (#12);nordic impact 2021,energy,energy efficiency,early growth stage,European Innovation Council;Ganapali;European Commission,government;venture_capital;investment fund,Helsinki
